number,p04477_f001,p04477_f002,p04477_f003,p04477_f004,p04477_f005,p04477_f006,p04477_f007,p04477_f008,p04477_f009,p04477_f010,p04477_f011,p04477_f012,p04477_f013,p04477_f014,p04477_f015,p04477_f016,p04477_f017,p04477_f018,p04477_f019,p04477_f020,p04477_f021,p04477_f022,p04477_f023,
1,1236.HK,乐动机器人,2026/05/08,296740,259886,36854,0,51348.00000000000000000000,3015.00000000000000000000,48333.0000000000000000,0,17226.3433000000000000000000000000000000000000,8099.7633000000000000000000000000000000000000,9126.5800000000000000000000000000000000000000,0,39,27,12,0,6707.6600000000000000,0.80000000000000000000,资讯科技业,工业,
2,1187.HK,可孚医疗,2026/05/05,105939,104431,1508,0,73615.00000000000000000000,6115.00000000000000000000,67500.0000000000000000,0,15083.0065000000000000000000000000000000000000,13575.0065000000000000000000000000000000000000,1508,0,152,32,120,0,399.0800000000000000,5.0000000000000000,医疗保健业,医疗保健,
3,1609.HK,天星医疗,2026/05/04,300735,264904,35831,0,47477.00000000000000000000,6055.00000000000000000000,41422.0000000000000000,0,19151.3736000000000000000000000000000000000000,8859.6146000000000000000000000000000000000000,10291.7590000000000000000000000000000000000000,0,43,32,11,0,7823.1300000000000000,1.5000000000000000,医疗保健业,医疗保健,
4,6810.HK,商米科技-W,2026/04/28,204939,193590,11349,0,105428.00000000000000000000,6615.00000000000000000000,98813.0000000000000000,0,33070.7594000000000000000000000000000000000000,21721.7594000000000000000000000000000000000000,11349,0,55,30,25,0,2003.1600000000000000,5.0000000000000000,资讯科技业,信息技术,
5,1879.HK,曦智科技-P,2026/04/27,378085,335445,42640,0,102987.00000000000000000000,5995.00000000000000000000,96992.0000000000000000,0,134273.7335000000000000000000000000000000000000,91633.7335000000000000000000000000000000000000,42640,0,53,28,25,0,5784.7000000000000000,6.0000000000000000,资讯科技业,信息技术,
6,2493.HK,迈威生物-B,2026/04/27,126378,122556,3822,0,51798.00000000000000000000,3015.00000000000000000000,48783.0000000000000000,0,14796.6271000000000000000000000000000000000000,10974.6271000000000000000000000000000000000000,3822,0,82,27,55,0,481.7100000000000000,1.00000000000000000000,医疗保健业,医疗保健,
7,3296.HK,华勤技术,2026/04/22,140150,126765,13385,0,149389.00000000000000000000,2715.00000000000000000000,146674.0000000000000000,0,42575.8096000000000000000000000000000000000000,29190.8096000000000000000000000000000000000000,13385,0,118,28,90,0,531.3300000000000000,12.0000000000000000,资讯科技业,信息技术,
8,2476.HK,胜宏科技,2026/04/20,250606,219446,31160,0,102622.00000000000000000000,915.00000000000000000000,101707.0000000000000000,0,57310.4833000000000000000000000000000000000000,34917.2333000000000000000000000000000000000000,22393.250000000000000000000000000000000000,0,168,24,144,0,431.1500000000000000,0.71000000000000000000,工业,信息技术,
9,0068.HK,群核科技,2026/04/16,240700,227540,13160,0,84057.00000000000000000000,7195.00000000000000000000,76862.0000000000000000,0,28321.7393000000000000000000000000000000000000,15971.6993000000000000000000000000000000000000,12350.040000000000000000000000000000000000,0,50,29,21,0,1590.5600000000000000,3.0000000000000000,资讯科技业,信息技术,
10,3277.HK,长光辰芯,2026/04/16,266501,253633,12868,0,112762.00000000000000000000,6115.00000000000000000000,106647.0000000000000000,0,45814.9032000000000000000000000000000000000000,32946.9032000000000000000000000000000000000000,12868,0,71,32,39,0,1138.2100000000000000,1.00000000000000000000,工业,信息技术,
11,6656.HK,思格新能,2026/04/15,202730,179452,23278,0,32902.00000000000000000000,715.00000000000000000000,32187.0000000000000000,0,13474.7027000000000000000000000000000000000000,6775.6927000000000000000000000000000000000000,6699.010000000000000000000000000000000000,0,38,23,15,0,1102.0500000000000000,2.0000000000000000,工业,工业,
12,0664.HK,铜师傅,2026/03/30,26280,26134,146,0,23318.00000000000000000000,3415.00000000000000000000,19903.0000000000000000,0,3003.3542000000000000000000000000000000000000,2857.3542000000000000000000000000000000000000,146,0,630,80,550,0,59.5500000000000000,2.7800000000000000,非必需性消费,非日常生活消费品,
