security_key,temp_code,code,name,issuer_name,lifecycle_stage,application_date,a1_date,application_status,application_status_update_date,hearing_date,prospectus_date,offer_start_date,offer_end_date,pricing_date,allotment_result_date,expected_listing_date,listing_date,board,industry,sub_industry,offer_price_low,offer_price_high,issue_price,final_price_position,board_lot,fundraising_amount_hkd,market_cap_at_ipo_hkd,net_proceeds_hkd,issue_pe,public_subscription_multiple,international_subscription_multiple,one_lot_success_rate,clawback_ratio,cornerstone_names,cornerstone_investor_count,cornerstone_amount_hkd,cornerstone_shares,cornerstone_ratio,cornerstone_lockup_months,cornerstone_lockup_end_date,cornerstone_quality_tags,sponsor_names,overall_coordinator_names,bookrunner_names,underwriter_names,proceeds_use,primary_signal,primary_action,data_completeness_score,next_data_action,source_files,number,result_or_latest_date_raw,offer_type,has_public_offer,is_transfer_or_intro_raw,reserved_f007,market_cap_at_ipo_hkd_mn,global_offer_shares_initial,global_offer_shares_final_base,global_offer_shares_with_oa,global_offer_shares_ex_oa_or_exercised_raw,public_offer_shares_initial,public_offer_shares_final,international_offer_shares_initial,international_offer_shares_final,placing_or_reserved_shares_initial_raw,placing_or_reserved_shares_final_raw,other_offer_shares_initial_raw,other_offer_shares_final_raw,over_allotment_option_shares,over_allotment_exercised_shares,reserved_f037,reserved_f038,sale_shares_initial_raw,sale_shares_final_raw,cornerstone_shares_from_first_issue,gross_proceeds_with_oa_hkd,gross_proceeds_base_hkd,gross_proceeds_oa_hkd,listing_expenses_hkd,offer_currency,par_value,par_value_currency,reserved_f026,public_subscription_multiple_first_issue,reserved_f051,international_subscription_multiple_first_issue
2476.HK,,2476.HK,胜宏科技,胜宏科技,已上市0-180D,,,,,,2026-04-13 00:00:00,2026-04-13 00:00:00,2026-04-16 00:00:00,2026-04-16 00:00:00,2026-04-20 00:00:00,2026-04-21 00:00:00,2026-04-21,主板,,,,209.88,209.88,,100.0,,21199670000.0,22879790000.0,33.768835450368,431.15,18.5,,,,,,,,,,,,,,,"所得款项净额约74.0%,预期将用于扩展公司在中国内地的生产;所得款项净额约7.0%,预期将用于购买mSAP制造设备及其他机器的智能制造设备,以进一步多样化公司的产品组合,保持在先进PCB技术领域的竞争优势;所得款项净额约9.0%,预期将于五年期间用于研发活动。所得款项净额约10.0%,预期将用作营运资金及一般公司用途。",公开认购强,中性观察；等待暗盘、首日成交和发行价支撑确认,0.6111111111111112,补IPO打新中签结果,港股IPO首发信息一览.csv,11,2026/04/22,"发售以供认购,发售以供配售",是,否,,21199.67,83348000.0,95850000.0,95850000.0,110227500.0,8334800.0,8334800.0,75013200.0,87515200.0,,,,,12502000,14377500,,,8334700,7983300,37220100,23134547700.0,20116998000.0,3017549700.0000,254757700.0,HKD,1.0000000000,CNY,,431.15,,18.5
0068.HK,,0068.HK,群核科技,群核科技,已上市0-180D,,,,,,2026-04-09 00:00:00,2026-04-09 00:00:00,2026-04-14 00:00:00,2026-04-15 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-17,主板,,,6.72,7.62,7.62,1.0,500.0,,3848430000.0,1266400000.0,32.293016953735,1590.56,14.46,,,,,,,,,,,,,,,所得款项净额约30.0%将用于实施公司的国际扩张策略;所得款项净额约20.0%将用于增强现有产品的功能;所得款项净额约20.0%将用于支持公司的国内销售及市场推广活动;所得款项净额约20.0%将用于投资公司的核心技术及基础设施;所得款项净额约10.0%将用作营运资金及一般企业用途。,散户极热/易拥挤,谨慎或回避一级；只做二级事件观察,0.6666666666666666,补IPO打新中签结果,港股IPO首发信息一览.csv,13,2026/04/20,"发售以供认购,发售以供配售",是,否,,3848.43,160619000.0,160619000.0,184711500.0,184711500.0,16062000.0,16062000.0,144557000.0,144557000.0,,,,,24092500,24092500,,,,,59647000,1407501630.0,1223916780.0,183584850.0000,141101630.0,HKD,0.0000250000,USD,,1590.56,,14.46
3277.HK,,3277.HK,长光辰芯,长光辰芯,已上市0-180D,,,,,,2026-04-09 00:00:00,2026-04-09 00:00:00,2026-04-14 00:00:00,2026-04-09 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-17,主板,,,39.88,39.88,39.88,,100.0,,4028230000.0,2883400000.0,43.479034696524,1138.21,22.69,,,,,,,,,,,,,,,"约55.0%预计将用于增加公司的研发投资,以推动持续创新并支持公司在主要应用场景(即工业成像、科学成像、专业影像及医疗成像解决方案)的持续研发及产品迭代;约21.0%预计将用于建立一个先进的CMOS图像传感器研发中心;约4.0%预计用于扩展公司的封装及测试生产线;约10.0%预计用于通过战略性地域扩张,增强公司的海外运营;约10.0%预计用于营运资金及一般企业用途。",散户极热/易拥挤,中性观察；等待暗盘、首日成交和发行价支撑确认,0.6666666666666666,补IPO打新中签结果,港股IPO首发信息一览.csv,12,2026/05/08,"发售以供认购,发售以供配售",是,否,,4028.23,65294200.0,65294200.0,75088300.0,75088300.0,6529500.0,6529500.0,58764700.0,58764700.0,,,,,9794100,9794100,,,,,32645200,2994521404.0,2603932696.0,390588708.0000,111121404.0,HKD,1.0000000000,CNY,,1138.21,,22.69
6656.HK,,6656.HK,思格新能,思格新能,已上市0-180D,,,,,,2026-04-08 00:00:00,2026-04-08 00:00:00,2026-04-13 00:00:00,2026-04-08 00:00:00,2026-04-15 00:00:00,2026-04-16 00:00:00,2026-04-16,主板,,,324.2,324.2,324.2,,100.0,,32746960000.0,4189900000.0,49.813602413737,1102.05,31.2,,,,,,,,,,,,,,,"约38.0%将用于进一步扩大公司的研发团队及提升公司的研发设备及技术;约32.0%将用于加强公司的营销及售后服务,以推动扩大公司的全球客户群和业务覆盖范围;约12.0%将用于扩张产能;约9.0%将用于多元化公司的产品组合及扩展公司的工商业光储充解决方案;约9.0%将用于营运资金及一般公司用途。",散户极热/易拥挤,中性观察；等待暗盘、首日成交和发行价支撑确认,0.6666666666666666,补IPO打新中签结果,港股IPO首发信息一览.csv,14,2026/04/15,"发售以供认购,发售以供配售",是,否,,32746.96,13573900.0,13573900.0,15609900.0,13573900.0,1357400.0,1357400.0,12216500.0,12216500.0,,,,,2036000,,,,,,6760400,4400658380.0,4400658380.0,0.0000,210758380.0,HKD,0.1000000000,CNY,,1102.05,,31.2
0664.HK,,0664.HK,铜师傅,铜师傅,已上市0-180D,,,,,,2026-03-23 00:00:00,2026-03-23 00:00:00,2026-03-26 00:00:00,2026-03-27 00:00:00,2026-03-30 00:00:00,2026-03-31 00:00:00,2026-03-31,主板,,,60.0,68.0,60.0,0.0,100.0,,6868570000.0,390160000.0,6.7505535453907,59.55,1.47,,,,,,,,,,,,,,,"所得款项净额约38.0%分配用于提升公司的产品开发及设计能力,其乃公司增长策略的基础;所得款项净额约24.0%分配用于提升公司的内部产能及加强需求预测与制造产出的一致性,从而提高履约灵活性并支持长期产品供应;所得款项净额约24.0%分配用于扩大及加强公司的零售及营销基础设施,重点巩固公司在中国的直营店网络、加快国际化布局及增强公司的数字化营销和内容开发能力;所得款项净额约4.0%分配用于加强公司的数字化和信息基础设施;所得款项净额约10.0%将保留用于一般营运资金及运营灵活性。",公开认购强,可小额/选择性参与；二级等首日浮筹释放,0.6666666666666666,补IPO打新中签结果,港股IPO首发信息一览.csv,15,2026/04/30,"发售以供认购,发售以供配售",是,否,,6868.57,7406800.0,7406800.0,8517800.0,7406800.0,740700.0,1111000.0,6666100.0,6295800.0,,,,,1111000,0,,,,,500000,444408000.0,444408000.0,0.0000,54248000.0,HKD,1.0000000000,CNY,,59.55,,1.47
3625.HK,,3625.HK,傅里叶,傅里叶,已上市0-180D,,,,,,2026-03-23 00:00:00,2026-03-23 00:00:00,2026-03-26 00:00:00,2026-03-27 00:00:00,2026-03-30 00:00:00,2026-03-31 00:00:00,2026-03-31,主板,,,40.0,50.0,40.0,0.0,100.0,,5050430000.0,422700000.0,,3118.43,2.93,,,,,,,,,,,,,,,"所得款项净额约46.8%,将于未来五年用于建立一个新的研发中心,以提升公司功放音频芯片的研发能力及技术竞争力。所得款项净额约17.8%将用于采购自动测试设备及建设内部自动测试验证线,以及招聘供应链管理工程师。所得款项净额约17.3%将用于寻求策略性收购及合作,以加强公司的产业整合,并巩固公司在功放音频芯片行业的地位。所得款项净额约8.1%将用于产品的营销及销售。所得款项净额约10.0%将用作营运资金及其他一般企业用途。",散户极热/易拥挤,可小额/选择性参与；二级等首日浮筹释放,0.6666666666666666,补IPO打新中签结果,港股IPO首发信息一览.csv,16,2026/03/30,"发售以供认购,发售以供配售",是,否,,5050.43,12000000.0,12000000.0,13800000.0,12000000.0,600000.0,2400000.0,11400000.0,9600000.0,,,,,1800000,0,,,,,,480000000.0,480000000.0,0.0000,57300000.0,HKD,1.0000000000,CNY,,3118.43,,2.93
2726.HK,,2726.HK,瀚天天成,瀚天天成,已上市0-180D,,,,,,2026-03-20 00:00:00,2026-03-20 00:00:00,2026-03-25 00:00:00,2026-03-20 00:00:00,2026-03-27 00:00:00,2026-03-30 00:00:00,2026-03-30,主板,,,76.26,76.26,76.26,,50.0,,3851460000.0,1559500000.0,47.273014777383,50.66,1.95,,,,,,,,,,,,,,,"所得款项净额的约71%,将用于在未来五年以严谨且审慎的方式扩大碳化硅外延晶片产能,以满足不断增长的市场需求；所得款项净额的约19%,将用于碳化硅外延晶片研发,以提升公司的技术能力并巩固公司的技术优势；所得款项净额的约10%,将用作营运资金及一般公司用途。",公开认购强,中性观察；等待暗盘、首日成交和发行价支撑确认,0.6666666666666666,补IPO打新中签结果,港股IPO首发信息一览.csv,18,2026/03/27,"发售以供认购,发售以供配售",是,否,,3851.46,21492050.0,21492050.0,21492050.0,21492050.0,2149250.0,2149250.0,19342800.0,19342800.0,,,,,,0,,,,,10058500,1638983733.0,1638983733.0,0.0000,79483733.0,HKD,1.0000000000,CNY,,50.66,,1.95
2526.HK,,2526.HK,德适-B,德适-B,已上市0-180D,,,,,,2026-03-20 00:00:00,2026-03-20 00:00:00,2026-03-25 00:00:00,2026-03-26 00:00:00,2026-03-27 00:00:00,2026-03-30 00:00:00,2026-03-30,主板,,,95.6,112.5,99.0,0.201183431952663,50.0,,5681730000.0,719800000.0,,1073.37,3.45,,,,,,,,,,,,,,,约49.0%将分配至公司核心产品AI Auto Vision的研发及商业化。约10.0%将于上市后未来三年分配至公司其他医学影像软件候选产品及医疗器械的进一步研发。约20.0%将分配至加强公司的iMedImage基座模型及AI技术。约8.0%将分配至加强公司在中国的商业化能力及市场渗透。约5.0%将分配至透过聘请约两名初级当地销售代表、八名中级当地销售代表及九名资深当地销售代表扩大公司在全球市场的业务。约8.0%将分配至寻求医疗价值链中的上下游参与者的战略合作及投资机遇。,散户极热/易拥挤,可小额/选择性参与；二级等首日浮筹释放,0.6666666666666666,补IPO打新中签结果,港股IPO首发信息一览.csv,19,2026/03/27,"发售以供认购,发售以供配售",是,否,,5681.73,7999200.0,7999200.0,7999200.0,7999200.0,799950.0,799950.0,7199250.0,7199250.0,,,,,,,,,,,,791920800.0,791920800.0,0.0000,72120800.0,HKD,1.0000000000,CNY,,1073.37,,3.45
6636.HK,,6636.HK,极视角,极视角,已上市0-180D,,,,,,2026-03-20 00:00:00,2026-03-20 00:00:00,2026-03-25 00:00:00,2026-03-20 00:00:00,2026-03-27 00:00:00,2026-03-30 00:00:00,2026-03-30,主板,,,40.0,40.0,40.0,,50.0,,2020160000.0,434400000.0,9.4551282051282,4591.37,3.41,,,,,,,,,,,,,,,约60.0%的所得款项净额预期将用于增强公司的研发能力;约30.0%的所得款项净额预期将用于提升公司的商业化能力;约10.0%的所得款项净额预期将用于营运资金及一般企业用途。,散户极热/易拥挤,中性观察；等待暗盘、首日成交和发行价支撑确认,0.6666666666666666,补IPO打新中签结果,港股IPO首发信息一览.csv,20,2026/03/27,"发售以供认购,发售以供配售",是,否,,2020.16,12480000.0,12480000.0,12480000.0,12480000.0,624000.0,2496000.0,11856000.0,9984000.0,,,,,,,,,,,1180000,499200000.0,499200000.0,0.0000,64800000.0,HKD,1.0000000000,CNY,,4591.37,,3.41
1021.HK,,1021.HK,华沿机器人,华沿机器人,已上市0-180D,,,,,,2026-03-20 00:00:00,2026-03-20 00:00:00,2026-03-25 00:00:00,2026-03-20 00:00:00,2026-03-27 00:00:00,2026-03-30 00:00:00,2026-03-30,主板,,,17.0,17.0,17.0,,200.0,,3434290000.0,1698870000.0,42.560329570498,5059.38,16.65,,,,,,,,,,,,,,,"所得款项净额约55.0%,将于未来五年用于提升公司的研发能力。所得款项净额约20.0%,将于未来五年用于海外业务发展,强化公司的市场领导地位,推进公司加强销售渠道和加快市场扩张步伐的商业策略。所得款项净额约15.0%,将于未来五年用于升级并扩建生产能力。所得款项净额约10.0%,将用于营运资金及一般企业用途。",散户极热/易拥挤,中性观察；等待暗盘、首日成交和发行价支撑确认,0.6666666666666666,补IPO打新中签结果,港股IPO首发信息一览.csv,17,2026/04/26,"发售以供认购,发售以供配售",是,否,,3434.29,80785000.0,92902600.0,92902600.0,106371600.0,4039400.0,16157000.0,76745600.0,76745600.0,,,,,12117600,13469000,,,,,45265600,1808317200.0,1579344200.0,228973000.0000,109447200.0,HKD,0.2000000000,CNY,,5059.38,,16.65
