security_key,code,name,cornerstone_names,cornerstone_investor_count,cornerstone_amount_hkd,cornerstone_ratio,cornerstone_lockup_months,cornerstone_lockup_end_date,cornerstone_quality_tags,industry,source_files
1276.HK,1276.HK,恒瑞医药,"GIC Private Limited；Invesco Advisers, Inc.；UBS Asset Management (Singapore) Ltd.；HHLR CF, L.P.；Cordial Solar Limited；Integrated Core Strategies (Asia) Pte. Ltd.；Oaktree Capital Management,L.P.",7,4130718270.0,0.41759999999999997,6.0,2025-11-23,长线基金；主权/国资,生物科技,港股IPO基石投资者.csv
1304.HK,1304.HK,FORTIOR,泰康人寿保险有限责任公司；保银资产管理有限公司；3W Fund Management Limited；Wind Sabre Opportunities Fund SP；华夏基金(香港)有限公司；Mega Prime Development Limited；三花国际新加坡私人有限公司；Torus Fund SP；Intac Investment Fund；Fourier Capital Management Limited,10,879131850.0,0.38939999999999997,6.0,2026-01-09,产业方；长线基金,半导体产品,港股IPO基石投资者.csv
1318.HK,1318.HK,毛戈平,"CPE Investment XV Limited；正心谷资本；Seraphim Advantage Inc.；常春藤资产管理(香港)有限公司；Mega Prime Development Limited；Brilliant Partners Fund LP,China Core Fund",6,100000000.0,0.3331,6.0,2025-06-10,长线基金,个人护理用品,港股IPO基石投资者.csv
1333.HK,1333.HK,博雷顿,香港欣威电子有限公司；长风成长股票开放式基金型公司,2,63500000.0,0.2697,9.0,2026-02-07,产业方；长线基金,建筑机械和重型运输设备,港股IPO基石投资者.csv
1334.HK,1334.HK,瑞昌国际控股,黄山建投私募基金管理有限公司；黄山市诚合新业股权投资合伙企业(有限合伙)；Emsdom Limited,3,57800000.0,0.4404,6.0,2025-01-10,产业方；长线基金；主权/国资,石油天然气设备与服务,港股IPO基石投资者.csv
1354.HK,1354.HK,经发物业,西安天博诊断技术有限公司；西安盯准教育科技有限公司；The Reynold Lemkins Group (Asia) Limited,3,53809560.0,0.4305,12.0,2025-07-03,产业方,房地产经营公司,港股IPO基石投资者.csv
1364.HK,1364.HK,古茗,"Huang River Investment Limited；GM Charm Yield (BVI) Limited；LVC；Duckling Fund, L.P.；Long-Z Fund I, LP",5,553111300.0,0.305,6.0,2025-08-12,产业方；长线基金；上市公司关联,多品类零售,港股IPO基石投资者.csv
1471.HK,1471.HK,众淼控股,洪泰国际三号有限合伙基金；The Reynold Lemkins Group (Asia) Limited,2,46200000.0,0.18710000000000002,6.0,2025-02-06,产业方；长线基金；主权/国资,保险经纪商,港股IPO基石投资者.csv
1609.HK,1609.HK,天星医疗,JSC International Investment Fund SPC – Shenghai SP；奥博亚洲四期(香港)有限公司；Mega Prime Development Limited；Poly Platinum Enterprises Limited,4,287905650.0,0.34700000000000003,6.0,2026-11-05,长线基金；主权/国资,医疗保健设备,港股IPO基石投资者.csv
1641.HK,1641.HK,红星冷链,福慧达(香港)有限公司,1,21835060.0,0.0766,6.0,2026-07-13,上市公司关联,综合支持服务,港股IPO基石投资者.csv
1768.HK,1768.HK,鸣鸣很忙,Taibai Investments Pte. Ltd.；Huang River Investment Limited；The 32 Capital Master Fund SPC Ltd.、Global Alpha Opportunities Master Fund Ltd.、BlackRock Systematic Total Alpha Master Fund Ltd.、BlackRock Global Equity Market Neutral Fund of BlackRock Funds、Emerging Markets Alpha Master Fund Ltd.、SAE Liquidity Fund LP、BlackRock Global Funds – China Fund、BLACKROCK STRATEGIC FUNDS – BlackRock Systematic Asia Pacific Equity Absolute Return Fund、Pan Asia Opportunities Master Fund Ltd.及若干单独管理账户；富达基金(香港)有限公司；泰康人寿保险有限责任公司；Springs Capital (Hong Kong) Limited；博时基金(国际)有限公司；易方达基金管理有限公司及易方达资产管理(香港)有限公司,8,1519888500.0,0.41400000000000003,6.0,2026-07-28,产业方；长线基金；主权/国资；上市公司关联,食品零售,港股IPO基石投资者.csv
1828.HK,1828.HK,富卫集团,"MC Management 10 RSC Ltd；T&D United Capital Co., Ltd.",2,1949996600.0,0.562,6.0,2026-01-07,长线基金；上市公司关联,人寿与健康保险,港股IPO基石投资者.csv
1879.HK,1879.HK,曦智科技-P,"Alibaba Investment Limited；GIC Private Limited；Taibai Investments Pte. Ltd.；Baillie Gifford Overseas Limited及Baillie Gifford & Co；BlackRock, Inc.；Schroder Investment Management (Singapore) Ltd、Schroder Investment Management (Hong Kong) Limited、Schroder Investment Management Limited；富达基金(香港)有限公司；上海中移数字转型产业私募基金合伙企业(有限合伙)；3W Fund Management Limited；UBS Asset Management (Singapore) Ltd.；HHLR Advisors, Ltd.；Aspex Master Fund；联想集团有限公司；未来资产证券(香港)有限公司；CPE Fir Investment Limited；景林资产管理香港有限公司；广发基金管理有限公司及广发国际资产管理有限公司；中兴通讯(香港)有限公司；中国平安资产管理(香港)有限公司；工银理财有限责任公司",20,1644142140.0,0.6506000000000001,6.0,2026-10-28,产业方；长线基金；主权/国资；上市公司关联,半导体产品,港股IPO基石投资者.csv
