p03412_f001,p03412_f002,p03412_f003,p03412_f004,p03412_f005,p03412_f006,p03412_f007,p03412_f008
富途证券国际(香港)有限公司,0100.HK,MINIMAX-W,账簿管理人、承销商、牵头经办人,2026/01/09,109.0909090909090900,数码解决方案服务,互联网服务和基础设施
富途证券国际(香港)有限公司,0068.HK,群核科技,包销商、账簿管理人、牵头经办人,2026/04/17,144.0944881889763800,应用软件,应用软件
富途证券国际(香港)有限公司,9981.HK,沃尔核材,牵头经办人、包销商、账簿管理人,2026/02/13,2.93678446988551518200,工业零件及器材,电子设备和仪器
富途证券国际(香港)有限公司,9611.HK,龙旗科技,账簿管理人、包销商、牵头经办人,2026/01/22,3.5483870967741900,消费性电讯设备,电脑硬件、储存设备及电脑周边
富途证券国际(香港)有限公司,9609.HK,海伟股份,承销商、牵头经办人、账簿管理人,2025/11/28,-22.96918767507002801100,工业零件及器材,电子元件
富途证券国际(香港)有限公司,7666.HK,剂泰科技-P,包销商、账簿管理人、牵头经办人,2026/05/13,126.6666666666666700,生物技术,生物科技
富途证券国际(香港)有限公司,7618.HK,京东工业,账簿管理人、承销商、全球协调人、牵头经办人,2025/12/11,0.00000000000000000000,采购及供应链管理,贸易公司与经销商
富途证券国际(香港)有限公司,6938.HK,瑞博生物-B,账簿管理人、牵头经办人、承销商,2026/01/09,41.6249784371226500,生物技术,制药
富途证券国际(香港)有限公司,6871.HK,翼菲科技,承销商、牵头经办人,2026/05/18,76.2295081967213100,工业零件及器材,电子设备和仪器
富途证券国际(香港)有限公司,6810.HK,商米科技-W,账簿管理人、包销商、牵头经办人,2026/04/29,241.1102172164119100,电脑及周边器材,电子设备和仪器
富途证券国际(香港)有限公司,6651.HK,五一视界,全球协调人、包销商、牵头经办人、账簿管理人、整体协调人,2025/12/30,29.9016393442623000,数码解决方案服务,应用软件
富途证券国际(香港)有限公司,6600.HK,卧安机器人,账簿管理人、包销商、牵头经办人,2025/12/30,0.06775067750677506800,家庭电器,家用电器
富途证券国际(香港)有限公司,6082.HK,壁仞科技,包销商、牵头经办人、账簿管理人、全球协调人,2026/01/02,75.8163265306122400,数码解决方案服务,电脑硬件、储存设备及电脑周边
富途证券国际(香港)有限公司,3887.HK,HASHKEY HLDGS,包销商、牵头经办人、账簿管理人、全球协调人,2025/12/17,-0.14970059880239521000,其他金融,交易与支付处理服务
富途证券国际(香港)有限公司,3636.HK,金浔资源,牵头经办人、包销商,2026/01/09,26.0000000000000000,铜,铜
富途证券国际(香港)有限公司,3625.HK,傅里叶,包销商、账簿管理人,2026/03/31,100.0000000000000000,半导体,半导体产品
富途证券国际(香港)有限公司,3355.HK,飞速创新,包销商、账簿管理人,2026/03/23,13.4615384615384600,互联网服务及基础设施,互联网服务和基础设施
富途证券国际(香港)有限公司,3317.HK,迅策,账簿管理人、全球协调人、整体协调人、包销商、牵头经办人,2025/12/30,1.04166666666666666700,数码解决方案服务,互联网服务和基础设施
富途证券国际(香港)有限公司,3296.HK,华勤技术,账簿管理人、牵头经办人、包销商,2026/04/23,13.2561132561132600,消费性电讯设备,互联网服务和基础设施
富途证券国际(香港)有限公司,3268.HK,美格智能,牵头经办人、包销商、账簿管理人、全球协调人,2026/03/10,1.5246015246015200,消费性电讯设备,通信设备
富途证券国际(香港)有限公司,2788.HK,创新实业,承销商、牵头经办人,2025/11/24,32.7570518653321200,铝,铝
富途证券国际(香港)有限公司,2726.HK,瀚天天成,承销商、全球协调人、账簿管理人、牵头经办人,2026/03/30,35.0642538683451400,半导体设备与材料,半导体产品
富途证券国际(香港)有限公司,2720.HK,乐欣户外,牵头经办人、包销商、账簿管理人,2026/02/10,102.2857142857142900,玩具及消闲用品,休闲用品
富途证券国际(香港)有限公司,2715.HK,埃斯顿,包销商、账簿管理人、牵头经办人,2026/03/09,-16.01562500000000000000,重型机械,工业机械和用品及零部件
富途证券国际(香港)有限公司,2714.HK,牧原股份,账簿管理人、牵头经办人、承销商,2026/02/06,3.8974358974359000,禽畜肉类,包装食品与肉类
富途证券国际(香港)有限公司,2706.HK,海致科技集团,包销商、牵头经办人、账簿管理人,2026/02/13,242.2025129342202500,数码解决方案服务,信息科技咨询与其它服务
富途证券国际(香港)有限公司,2701.HK,国民技术,牵头经办人、包销商、账簿管理人,2026/03/23,4.1666666666666700,半导体,电子元件
富途证券国际(香港)有限公司,2695.HK,印象大红袍,包销商、账簿管理人、牵头经办人,2025/12/22,-35.27777777777777777800,消闲及文娱设施,酒店、度假村与豪华游轮
富途证券国际(香港)有限公司,2693.HK,金岩高岭新材,包销商、牵头经办人、账簿管理人,2025/12/03,2.19178082191780821900,其他金属及矿物,多种金属与采矿
富途证券国际(香港)有限公司,2692.HK,兆威机电,包销商、牵头经办人、账簿管理人,2026/03/09,2.4130190796857500,工业零件及器材,汽车零件与设备
富途证券国际(香港)有限公司,2685.HK,量化派,包销商、账簿管理人,2025/11/27,88.7755102040816300,线上零售商,互动媒体与服务
富途证券国际(香港)有限公司,2677.HK,卓正医疗,全球协调人、账簿管理人、牵头经办人、包销商,2026/02/06,13.3555926544240400,医疗及医学美容服务,保健护理机构
富途证券国际(香港)有限公司,2665.HK,图达通,牵头经办人、账簿管理人,2025/12/10,33.0000000000000000,数码解决方案服务,信息科技咨询与其它服务
富途证券国际(香港)有限公司,2661.HK,轻松健康,包销商、全球协调人、账簿管理人、牵头经办人,2025/12/23,158.8183421516754900,广告及宣传,保险经纪商
富途证券国际(香港)有限公司,2659.HK,宝济药业-B,包销商、牵头经办人,2025/12/10,138.8172858225928700,药品,制药
富途证券国际(香港)有限公司,2658.HK,天域半导体,账簿管理人、包销商,2025/12/05,-30.17241379310344827600,半导体设备与材料,半导体产品
富途证券国际(香港)有限公司,2657.HK,林清轩,账簿管理人、包销商,2025/12/30,9.2966439501093000,护肤与化妆品,个人护理用品
富途证券国际(香港)有限公司,2655.HK,果下科技,账簿管理人、牵头经办人、包销商,2025/12/16,117.9104477611940300,能源储存装置,重型电气设备
富途证券国际(香港)有限公司,2649.HK,优乐赛共享,牵头经办人、包销商、账簿管理人,2026/03/09,-43.63636363636363636400,印刷及包装,汽车零件与设备
富途证券国际(香港)有限公司,2632.HK,泽景股份,承销商、牵头经办人、账簿管理人,2026/03/24,-36.92307692307692307700,汽车零件,电子设备和仪器
