code,name,listing_date,industry,issue_price,d1_open_ret,d1_close_ret,d1_intraday_ret,d1_amplitude,d5_close_ret,d20_close_ret,d60_close_ret,max_5_ret,min_5_ret,max_20_ret,min_20_ret,max_60_ret,min_60_ret,d1_amount,d1_volume,quote_days,label_strong_open,label_deep_v,label_broken,label_pop_then_fade,label_tradeable_20d,path_label,rule_recommendation,model_score_tradeable_20d,model_recommendation
2498.HK,速腾聚创,2024-01-05,Unknown,,0.0,0.0,0.0,0.0385542168674699,0.0,0.0,-0.0081395348837209,0.0325581395348837,-0.0348837209302325,0.0325581395348837,-0.0441860465116278,0.05,-0.2325581395348837,40096050.0,944300.0,79,False,False,False,False,False,watch,Watch only or small trial position,0.3695348837209302,Avoid unless fundamentals beat materially
2453.HK,美中嘉和,2024-01-09,Unknown,,0.0,0.1306122448979592,0.1306122448979592,0.2391752577319588,0.4061224489795916,0.2530612244897958,1.2857142857142856,0.4387755102040815,-0.0102040816326531,0.4897959183673468,-0.0102040816326531,1.5306122448979589,-0.0102040816326531,40455156.0,3770200.0,81,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.7483673469387755,High priority: prepare IPO/anchor/secondary plan
6959.HK,长久股份,2024-01-09,Unknown,,0.0,0.1327868852459017,0.1327868852459017,0.1917355371900826,0.4360655737704919,0.2131147540983609,4.557377049180328,0.4737704918032788,-0.0081967213114754,0.4770491803278689,-0.0081967213114754,4.573770491803279,-0.0081967213114754,27348080.0,4309500.0,81,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.7424590163934427,High priority: prepare IPO/anchor/secondary plan
2503.HK,中深建业,2024-01-09,Unknown,,0.0,-0.1111111111111111,-0.1111111111111111,0.1999999999999999,0.2716049382716048,0.7037037037037035,-0.037037037037037,0.2839506172839505,-0.1358024691358026,0.8518518518518516,-0.1358024691358026,0.8518518518518516,-0.1358024691358026,25813440.0,32216000.0,81,False,True,False,False,True,deep_v_rebound,Add to first-month secondary trading pool,0.4660493827160493,Low priority: watchlist or trial position only
2477.HK,经纬天地（新）,2024-01-12,Unknown,,0.0,0.4915254237288136,0.4915254237288136,0.5823529411764705,0.9378531073446328,0.8418079096045197,0.9322033898305084,1.406779661016949,-0.0395480225988701,1.406779661016949,-0.0395480225988701,1.406779661016949,-0.0395480225988701,54877536.0,27933800.0,80,True,False,False,False,True,strong_open,Add to first-month secondary trading pool,0.87,High priority: prepare IPO/anchor/secondary plan
2535.HK,泓基集团,2024-03-08,Unknown,,0.0,-0.0923076923076924,-0.0923076923076924,0.5208333333333333,0.0461538461538462,-0.0307692307692307,-0.0923076923076924,0.1384615384615384,-0.2615384615384616,0.2153846153846155,-0.2615384615384616,0.2153846153846155,-0.2615384615384616,58954900.0,96680000.0,77,False,True,False,False,False,deep_v_rebound,Avoid chasing first day; wait for turnover stabilization,0.1223076923076922,Avoid unless fundamentals beat materially
2540.HK,乐思集团,2024-03-08,Unknown,,0.0,0.6666666666666665,0.6666666666666665,0.7777777777777779,2.2666666666666666,2.811111111111112,0.3111111111111111,2.7666666666666666,0.0,7.088888888888889,0.0,7.088888888888889,0.0,83668425.0,65740000.0,79,True,False,False,False,True,strong_open,Add to first-month secondary trading pool,0.87,High priority: prepare IPO/anchor/secondary plan
2509.HK,荃信生物－Ｂ,2024-03-20,Unknown,,0.0,-0.105839416058394,-0.105839416058394,0.1510204081632653,-0.2317518248175182,-0.167883211678832,0.0474452554744526,0.0291970802919707,-0.337956204379562,0.0291970802919707,-0.337956204379562,0.114963503649635,-0.337956204379562,61672710.0,2308200.0,80,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2536.HK,百乐皇宫,2024-03-26,Unknown,,0.0,0.0909090909090908,0.0909090909090908,0.216117216117216,0.9236363636363636,0.9200000000000002,1.1745454545454548,1.290909090909091,-0.0072727272727273,1.290909090909091,-0.0072727272727273,1.6145454545454547,-0.0072727272727273,147443660.0,50437218.0,80,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.7227272727272727,High priority: prepare IPO/anchor/secondary plan
2497.HK,富景中国控股,2024-03-28,Unknown,,0.0,-0.3051643192488262,-0.3051643192488262,0.7021276595744681,-0.3943661971830985,-0.488262910798122,-0.5023474178403755,0.1267605633802817,-0.4647887323943662,0.1267605633802817,-0.5821596244131455,0.1267605633802817,-0.5821596244131455,76448740.0,37768000.0,80,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2598.HK,连连数字,2024-03-28,Unknown,,0.0,-0.0367346938775511,-0.0367346938775511,0.0678879310344828,-0.0071428571428571,-0.0306122448979592,-0.0316326530612245,0.0428571428571429,-0.1224489795918368,0.0428571428571429,-0.1224489795918368,0.0428571428571429,-0.1224489795918368,149692289.0,15429700.0,80,False,False,False,False,False,watch,Watch only or small trial position,0.2606122448979591,Avoid unless fundamentals beat materially
2515.HK,天津建发,2024-04-23,Unknown,,0.0,-0.1914893617021276,-0.1914893617021276,0.4342105263157896,-0.2074468085106382,-0.2872340425531914,-0.2925531914893616,0.1595744680851065,-0.2446808510638297,0.1595744680851065,-0.3351063829787234,0.1595744680851065,-0.4946808510638297,108156350.0,56518000.0,83,False,False,True,True,False,pop_then_fade,Avoid chasing first day; wait for turnover stabilization,0.0579787234042553,Avoid unless fundamentals beat materially
2555.HK,茶百道,2024-04-23,Unknown,,0.0,-0.1867852604828462,-0.1867852604828462,0.4574074074074072,-0.2820838627700126,-0.2693773824650571,-0.3316391359593392,0.0,-0.3138500635324015,0.0,-0.3881829733163913,0.0,-0.3881829733163913,210907779.0,16394628.0,83,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
4336.HK,应用材料－Ｔ,2024-04-24,Unknown,,0.0,0.0,0.0,0.0,,,,1.7000000000000002,0.0,1.7000000000000002,0.0,1.7000000000000002,0.0,6000.0,10.0,2,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.6499999999999999,Medium priority: wait for first-day turnover confirmation
2438.HK,出门问问,2024-04-24,Unknown,,0.0,0.2348993288590604,0.2348993288590604,0.261744966442953,0.2751677852348992,0.2080536912751678,-0.5201342281879195,0.3389261744966443,0.0,0.4697986577181208,0.0,0.4697986577181208,-0.5436241610738255,206153660.0,61942500.0,83,True,False,False,False,True,strong_open,Add to first-month secondary trading pool,0.8197986577181209,High priority: prepare IPO/anchor/secondary plan
4333.HK,思科－Ｔ,2024-05-07,Unknown,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,40.0,2,False,False,False,False,False,watch,Watch only or small trial position,0.35,Avoid unless fundamentals beat materially
2556.HK,迈富时,2024-05-16,Unknown,,0.0,0.1477777777777777,0.1477777777777777,0.2444444444444444,0.3944444444444444,0.8033333333333335,1.221111111111111,0.4555555555555555,0.0,0.9555555555555556,0.0,1.4177777777777778,0.0,40206255.0,799500.0,84,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.7682222222222221,High priority: prepare IPO/anchor/secondary plan
2529.HK,泓盈城市服务,2024-05-17,Unknown,,0.0,-0.0722543352601156,-0.0722543352601156,0.1774193548387095,-0.2167630057803468,-0.1473988439306357,-0.1907514450867052,0.0549132947976878,-0.2861271676300577,0.0549132947976878,-0.323699421965318,0.0549132947976878,-0.323699421965318,39250960.0,11580000.0,76,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.0985549132947976,Avoid unless fundamentals beat materially
2898.HK,盛禾生物－Ｂ,2024-05-24,Unknown,,0.0,0.0041493775933609,0.0041493775933609,0.0936170212765956,-0.438450899031812,-0.5809128630705395,-0.5573997233748271,0.0663900414937759,-0.4522821576763486,0.0663900414937759,-0.5947441217150761,0.0663900414937759,-0.7095435684647302,41081356.0,2768400.0,80,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.1131535269709542,Avoid unless fundamentals beat materially
2505.HK,ＥＤＡ集团控股,2024-05-28,Unknown,,0.0,0.3592233009708738,0.3592233009708738,0.558303886925795,0.0517799352750809,0.4174757281553398,0.2168284789644012,0.7799352750809063,-0.0841423948220063,0.7799352750809063,-0.1812297734627832,1.741100323624596,-0.1812297734627832,112436925.0,33638192.0,83,True,False,False,False,True,strong_open,Watch only or small trial position,0.7105177993527508,High priority: prepare IPO/anchor/secondary plan
2443.HK,汽车街,2024-05-31,Unknown,,0.0,-0.1075862068965517,-0.1075862068965517,0.3428571428571429,-0.1034482758620689,-0.3227586206896551,-0.573103448275862,0.1668965517241381,-0.3206896551724137,0.1668965517241381,-0.3227586206896551,0.1668965517241381,-0.6889655172413793,114626682.0,7705800.0,82,False,False,True,True,False,pop_then_fade,Avoid chasing first day; wait for turnover stabilization,0.1381379310344828,Avoid unless fundamentals beat materially
2522.HK,一脉阳光,2024-06-07,Unknown,,0.0,0.0,0.0,0.2045454545454545,0.3666666666666667,0.2613333333333334,0.3533333333333333,0.4266666666666665,-0.0999999999999999,0.5466666666666666,-0.0999999999999999,0.5466666666666666,-0.0999999999999999,185911088.0,12268300.0,81,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.6499999999999999,Medium priority: wait for first-day turnover confirmation
2550.HK,宜搜科技,2024-06-07,Unknown,,0.0,0.3082352941176469,0.3082352941176469,0.3647058823529412,1.1082352941176472,0.9952941176470588,1.2847058823529416,1.2470588235294118,0.0,1.3529411764705883,0.0,1.9352941176470584,0.0,52078730.0,5560500.0,81,True,False,False,False,True,strong_open,Add to first-month secondary trading pool,0.8965882352941175,High priority: prepare IPO/anchor/secondary plan
2228.HK,晶泰控股,2024-06-13,Unknown,,0.0,0.0760667903525047,0.0760667903525047,0.2391713747645951,-0.0166975881261595,-0.0241187384044526,1.8051948051948048,0.2207792207792209,-0.0389610389610389,0.2207792207792209,-0.2059369202226344,1.849721706864564,-0.2059369202226344,498678101.0,85480400.0,82,False,False,False,True,False,pop_then_fade,Avoid chasing first day; wait for turnover stabilization,0.3991651205936922,Avoid unless fundamentals beat materially
2512.HK,云工场,2024-06-14,Unknown,,0.0,-0.1304347826086956,-0.1304347826086956,0.2704918032786885,-0.1121281464530893,-0.1350114416475973,-0.1784897025171625,0.0640732265446224,-0.2677345537757437,0.0640732265446224,-0.2677345537757437,0.0640732265446224,-0.2677345537757437,125869805.0,29280598.0,81,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.0966819221967963,Avoid unless fundamentals beat materially
2881.HK,武汉有机,2024-06-18,Unknown,,0.0,-0.2894736842105264,-0.2894736842105264,0.5147058823529413,-0.4048582995951417,-0.478744939271255,-0.5799595141700404,0.0425101214574898,-0.4048582995951417,0.0425101214574898,-0.548582995951417,0.0425101214574898,-0.6103238866396761,85396035.0,9508500.0,77,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
6181.HK,老铺黄金,2024-06-28,Unknown,,0.0,0.0852713178294573,0.0852713178294573,0.2403609515996716,0.2751937984496124,0.1550387596899225,0.9813953488372094,0.3875968992248062,-0.0550387596899224,0.3937984496124032,-0.0550387596899224,1.1550387596899223,-0.0550387596899224,1164919420.0,17850500.0,81,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.6544961240310077,Medium priority: wait for first-day turnover confirmation
2479.HK,天聚地合,2024-06-28,Unknown,,0.0,-0.4676991150442477,-0.4676991150442477,0.9500831946755408,-0.3938053097345132,-0.3495575221238938,-0.4561946902654866,0.0371681415929203,-0.4712389380530973,0.0371681415929203,-0.4712389380530973,0.0371681415929203,-0.5610619469026549,162917897.0,1620450.0,81,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2559.HK,嘀嗒出行,2024-06-28,Unknown,,0.0,-0.1108986615678776,-0.1108986615678776,0.2688172043010752,-0.3575525812619503,-0.5411089866156789,-0.5831739961759081,0.1281070745697896,-0.3804971319311664,0.1281070745697896,-0.5850860420650096,0.1281070745697896,-0.7495219885277247,145287665.0,26229000.0,81,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.0581453154875716,Avoid unless fundamentals beat materially
