institution,code,name,role,listing_date,participation_pct,industry_level_1,industry_level_2,source_table
富途证券国际(香港)有限公司,2692.HK,兆威机电,牵头经办人,2026-03-09,2.41301907968575,工业零件及器材,汽车零件与设备,承销团参与度
富途证券国际(香港)有限公司,2677.HK,卓正医疗,牵头经办人,2026-02-06,13.35559265442404,医疗及医学美容服务,保健护理机构,承销团参与度
富途证券国际(香港)有限公司,2670.HK,云迹,牵头经办人,2025-10-16,26.046025104602514,数码解决方案服务,工业机械和用品及零部件,承销团参与度
富途证券国际(香港)有限公司,2665.HK,图达通,牵头经办人,2025-12-10,33.0,数码解决方案服务,信息科技咨询与其它服务,承销团参与度
富途证券国际(香港)有限公司,2661.HK,轻松健康,牵头经办人,2025-12-23,158.81834215167547,广告及宣传,保险经纪商,承销团参与度
富途证券国际(香港)有限公司,2659.HK,宝济药业-B,牵头经办人,2025-12-10,138.81728582259288,药品,制药,承销团参与度
富途证券国际(香港)有限公司,2655.HK,果下科技,牵头经办人,2025-12-16,117.91044776119404,能源储存装置,重型电气设备,承销团参与度
富途证券国际(香港)有限公司,2649.HK,优乐赛共享,牵头经办人,2026-03-09,-43.63636363636364,印刷及包装,汽车零件与设备,承销团参与度
富途证券国际(香港)有限公司,2643.HK,曹操出行,牵头经办人,2025-06-25,-14.163090128755364,公共运输,应用软件,承销团参与度
富途证券国际(香港)有限公司,2637.HK,海西新药,牵头经办人,2025-10-20,20.601851851851848,药品,制药,承销团参与度
富途证券国际(香港)有限公司,2632.HK,泽景股份,牵头经办人、承销商,2026-03-24,-36.92307692307692,汽车零件,电子设备和仪器,承销团参与度
富途证券国际(香港)有限公司,2631.HK,天岳先进,牵头经办人,2025-08-20,6.4018691588785,半导体设备与材料,半导体产品,承销团参与度
富途证券国际(香港)有限公司,2630.HK,旺山旺水-B,承销商、牵头经办人,2025-11-06,145.72969733293377,生物技术,生物科技,承销团参与度
富途证券国际(香港)有限公司,2621.HK,手回集团,牵头经办人,2025-05-30,-18.193069306930692,保险,保险经纪商,承销团参与度
富途证券国际(香港)有限公司,2613.HK,汇舸环保,牵头经办人,2025-01-09,6.28930817610063,商业用车及货车,海港与服务,承销团参与度
富途证券国际(香港)有限公司,2610.HK,南山铝业国际,牵头经办人,2025-03-25,-5.075187969924812,铝,铝,承销团参与度
富途证券国际(香港)有限公司,2609.HK,佰泽医疗,牵头经办人,2025-06-23,42.18009478672985,医疗及医学美容服务,保健护理机构,承销团参与度
富途证券国际(香港)有限公司,2605.HK,元光科技,牵头经办人,2025-06-10,-30.256410256410255,广告及宣传,广告,承销团参与度
富途证券国际(香港)有限公司,2598.HK,连连数字,牵头经办人,2024-03-28,-7.632093933463795,支付服务,交易与支付处理服务,承销团参与度
富途证券国际(香港)有限公司,2596.HK,宜宾银行,牵头经办人,2025-01-13,0.7722007722007722,银行,区域性银行,承销团参与度
富途证券国际(香港)有限公司,2593.HK,草姬集团,牵头经办人、承销商,2024-12-19,10.4,膳食补充品,医疗保健用品,承销团参与度
富途证券国际(香港)有限公司,2591.HK,银诺医药-B,牵头经办人,2025-08-15,206.4775160599572,生物技术,制药,承销团参与度
富途证券国际(香港)有限公司,2587.HK,健康之路,承销商、牵头经办人,2024-12-30,36.66666666666667,医疗及医学美容服务,信息科技咨询与其它服务,承销团参与度
富途证券国际(香港)有限公司,2586.HK,多点数智,牵头经办人,2024-12-06,-54.31976166832175,数码解决方案服务,互动媒体与服务,承销团参与度
富途证券国际(香港)有限公司,2585.HK,梦金园,牵头经办人,2024-11-29,7.5,其他零售商,其他专卖店,承销团参与度
富途证券国际(香港)有限公司,2581.HK,明基医院,牵头经办人,2025-12-22,-49.46466809421842,医疗及医学美容服务,保健护理服务,承销团参与度
富途证券国际(香港)有限公司,2580.HK,奥克斯电气,牵头经办人,2025-09-02,-5.39609644087256,家庭电器,家用电器,承销团参与度
富途证券国际(香港)有限公司,2577.HK,英诺赛科,牵头经办人,2024-12-30,0.45366169799093,半导体,半导体产品,承销团参与度
富途证券国际(香港)有限公司,2576.HK,太美医疗科技,牵头经办人,2024-10-08,-29.230769230769234,数码解决方案服务,应用软件,承销团参与度
富途证券国际(香港)有限公司,2567.HK,七牛智能,牵头经办人,2024-10-16,-56.72727272727273,互联网服务及基础设施,应用软件,承销团参与度
富途证券国际(香港)有限公司,2563.HK,华昊中天医药-B,牵头经办人,2024-10-31,30.0,生物技术,制药,承销团参与度
富途证券国际(香港)有限公司,2561.HK,维昇药业-B,牵头经办人,2025-03-21,0.0,生物技术,制药,承销团参与度
富途证券国际(香港)有限公司,2559.HK,嘀嗒出行,牵头经办人,2024-06-28,-22.5,公共运输,应用软件,承销团参与度
富途证券国际(香港)有限公司,2556.HK,迈富时,牵头经办人,2024-05-16,18.46330275229358,应用软件,应用软件,承销团参与度
富途证券国际(香港)有限公司,2555.HK,茶百道,牵头经办人,2024-04-23,-26.857142857142858,非酒精饮料,多品类零售,承销团参与度
富途证券国际(香港)有限公司,2551.HK,晶科电子股份,牵头经办人,2024-11-08,47.64542936288089,电子零件,半导体产品,承销团参与度
富途证券国际(香港)有限公司,2549.HK,卡罗特,牵头经办人,2024-10-02,58.30449826989619,家具,家用电器,承销团参与度
富途证券国际(香港)有限公司,2545.HK,中赣通信,牵头经办人,2024-07-03,-46.4,卫星及无线通讯,综合电信业务,承销团参与度
富途证券国际(香港)有限公司,2543.HK,大行科工,牵头经办人,2025-09-09,14.94949494949495,玩具及消闲用品,休闲用品,承销团参与度
富途证券国际(香港)有限公司,2530.HK,纽曼思,牵头经办人,2025-01-10,-13.75,膳食补充品,其他专卖店,承销团参与度
富途证券国际(香港)有限公司,2526.HK,德适-B,牵头经办人,2026-03-30,111.71717171717172,医疗设备及用品,医疗保健设备,承销团参与度
富途证券国际(香港)有限公司,2525.HK,禾赛-W,牵头经办人,2025-09-16,9.96240601503759,数码解决方案服务,电子设备和仪器,承销团参与度
富途证券国际(香港)有限公司,2522.HK,一脉阳光,牵头经办人,2024-06-07,0.13351134846462,医疗及医学美容服务,医疗保健技术,承销团参与度
富途证券国际(香港)有限公司,2513.HK,智谱,牵头经办人,2026-01-08,13.16695352839931,数码解决方案服务,应用软件,承销团参与度
富途证券国际(香港)有限公司,2512.HK,云工场,牵头经办人,2024-06-14,-17.391304347826086,互联网服务及基础设施,互联网服务和基础设施,承销团参与度
富途证券国际(香港)有限公司,2510.HK,德翔海运,牵头经办人,2024-11-01,-1.9138755980861244,航运及港口,海上运输,承销团参与度
富途证券国际(香港)有限公司,2508.HK,圣贝拉集团,牵头经办人,2025-06-26,33.73860182370821,其他支援服务,保健护理机构,承销团参与度
富途证券国际(香港)有限公司,2507.HK,西锐,承销商、牵头经办人,2024-07-12,0.0,航空航天与国防,航天航空与国防,承销团参与度
富途证券国际(香港)有限公司,2505.HK,EDA集团控股,牵头经办人,2024-05-28,84.21052631578947,采购及供应链管理,海港与服务,承销团参与度
富途证券国际(香港)有限公司,2495.HK,声通科技,牵头经办人、承销商,2024-07-10,-11.242603550295856,数码解决方案服务,互联网服务和基础设施,承销团参与度
富途证券国际(香港)有限公司,2493.HK,迈威生物-B,牵头经办人,2026-04-28,0.5788712011577424,生物技术,制药,承销团参与度
富途证券国际(香港)有限公司,2479.HK,天聚地合,牵头经办人,2024-06-28,-27.81711268450738,数码解决方案服务,信息科技咨询与其它服务,承销团参与度
富途证券国际(香港)有限公司,2453.HK,美中嘉和,牵头经办人,2024-01-09,-22.408963585434172,医疗及医学美容服务,医疗保健技术,承销团参与度
富途证券国际(香港)有限公司,2443.HK,汽车街,牵头经办人,2024-05-31,26.86274509803922,其他支援服务,汽车零售,承销团参与度
富途证券国际(香港)有限公司,2438.HK,出门问问,牵头经办人,2024-04-24,-3.157894736842105,数码解决方案服务,应用软件,承销团参与度
富途证券国际(香港)有限公司,2431.HK,佑驾创新,牵头经办人,2024-12-27,14.11764705882353,数码解决方案服务,汽车零件与设备,承销团参与度
富途证券国际(香港)有限公司,2408.HK,遇见小面,牵头经办人,2025-12-05,-27.840909090909086,餐饮,餐馆,承销团参与度
富途证券国际(香港)有限公司,2396.HK,华芢生物-B,牵头经办人,2025-12-22,-29.31937172774869,生物技术,制药,承销团参与度
富途证券国际(香港)有限公司,2228.HK,晶泰控股,牵头经办人,2024-06-13,9.848484848484848,生物技术,工业机械和用品及零部件,承销团参与度
富途证券国际(香港)有限公司,2026.HK,小马智行-W,牵头经办人,2025-11-06,-9.280575539568344,数码解决方案服务,应用软件,承销团参与度
富途证券国际(香港)有限公司,1768.HK,鸣鸣很忙,牵头经办人,2026-01-28,69.06170752324599,包装食品,食品零售,承销团参与度
富途证券国际(香港)有限公司,1609.HK,天星医疗,牵头经办人,2026-05-05,118.2741116751269,医疗设备及用品,医疗保健设备,承销团参与度
富途证券国际(香港)有限公司,1364.HK,古茗,牵头经办人,2025-02-12,-6.438631790744466,非酒精饮料,多品类零售,承销团参与度
富途证券国际(香港)有限公司,1354.HK,经发物业,牵头经办人,2024-07-03,-11.466666666666667,物业服务及管理,房地产经营公司,承销团参与度
富途证券国际(香港)有限公司,1334.HK,瑞昌国际控股,牵头经办人,2024-07-10,14.285714285714285,油气设备与服务,石油天然气设备与服务,承销团参与度
富途证券国际(香港)有限公司,1318.HK,毛戈平,牵头经办人,2024-12-10,76.51006711409396,护肤与化妆品,个人护理用品,承销团参与度
富途证券国际(香港)有限公司,1236.HK,乐动机器人,牵头经办人,2026-05-11,127.61760242792108,数码解决方案服务,工业机械和用品及零部件,承销团参与度
富途证券国际(香港)有限公司,1187.HK,可孚医疗,牵头经办人,2026-05-06,-1.0933129926264935,医疗设备及用品,医疗保健设备,承销团参与度
富途证券国际(香港)有限公司,1021.HK,华沿机器人,牵头经办人,2026-03-30,8.23529411764706,工业零件及器材,电子制造服务,承销团参与度
富途证券国际(香港)有限公司,0999.HK,小菜园,牵头经办人,2024-12-20,13.64705882352941,餐饮,餐馆,承销团参与度
富途证券国际(香港)有限公司,0917.HK,趣致集团,牵头经办人,2024-05-27,40.0,广告及宣传,信息科技咨询与其它服务,承销团参与度
富途证券国际(香港)有限公司,0800.HK,文远知行-W,牵头经办人、承销商,2025-11-06,-9.96309963099631,数码解决方案服务,应用软件,承销团参与度
富途证券国际(香港)有限公司,0664.HK,铜师傅,牵头经办人,2026-03-31,-49.166666666666664,玩具及消闲用品,多品类零售,承销团参与度
富途证券国际(香港)有限公司,0638.HK,广和通,承销商、牵头经办人,2025-10-22,-11.72093023255814,电子零件,通信设备,承销团参与度
富途证券国际(香港)有限公司,0325.HK,布鲁可,牵头经办人,2025-01-10,40.84507042253521,玩具及消闲用品,休闲用品,承销团参与度
富途证券国际(香港)有限公司,0300.HK,美的集团,牵头经办人、承销商,2024-09-17,7.84671532846715,家庭电器,家用电器,承销团参与度
富途证券国际(香港)有限公司,0100.HK,MINIMAX-W,牵头经办人、承销商,2026-01-09,109.09090909090908,数码解决方案服务,互联网服务和基础设施,承销团参与度
富途证券国际(香港)有限公司,0068.HK,群核科技,牵头经办人,2026-04-17,144.09448818897638,应用软件,应用软件,承销团参与度
