thscode,ths_industry,corp_profile,ths_is_allback_mech_global,the_concept,ah_premium_rate
1989.HK,,广州广合科技股份有限公司的主营业务是多高层印制电路板的研发、生产与销售。公司的主要产品是印制电路板。公司“服务器主板用印制电路板”入选国家工业和信息化部办公厅、中国工业联合会组织开展的2022年第七批国家级“制造业单项冠军产品”，公司“AI服务器超高阶高多层复合基板项目”获得中国电子学会2025年科技进步奖三等奖，“超小台阶阶梯金手指PCB关键技术的研发及应用”项目荣获2025年度广东省电子学会科技进步奖二等奖，“用于高性能计算(HPC)的大BGA服务器主板”获2025年广东省高新技术协会科技进步奖二等奖。,,"港股成交额前100[HK],深港通下的港股通标的股票,港股通标的股票,H股,H股内地民营企业,次新股[HK]",
2026.HK,,"小马智行于2016年11月4日在开曼群岛注册成立。Pony是实现自动驾驶出行大规模商业化的领导者,为(i)截至最后可行日期唯一一家获得在四座一线城市提供面向公众的自动驾驶出行服务全部可得及所需监管许可的自动驾驶科技公司,截至同日运营一支由超过680辆自有自动驾驶出租车组成的车队;及(ii)中国首家于2024年12月获准在跨省高速公路上进行无人驾驶的自动驾驶卡车编队测试的公司,截至2025年10月21日运营一支由超过170辆自有及租赁自动驾驶卡车组成的车队。公司于2018年底成为首家在中国推出自动驾驶出行服务的L4自动驾驶科技公司,早于同业数月。公司提供的自动驾驶出行服务使乘客能够通过即时预约车辆的方式乘坐由公司专有的‘虚拟司机’技术驱动的无人驾驶车辆。根据弗若斯特沙利文的资料,公司是中国首批获得在四座一线城市的指定区域运营全无人驾驶的L4自动驾驶出租车经营许可的公司之一,也是唯一一家获得在该等城市提供面向公众(包括收费及非收费)的自动驾驶出行服务全部可得及所需监管许可的自动驾驶科技公司,而截至最后可行日期,公司的同业目前尚未在该等城市取得所有有关许可。此外,公司也是中国首家于2024年12月获得监管部门批准在跨省高速公路上进行无人驾驶的自动驾驶卡车编队测试的公司。",,"联交所指定卖空证券,次新股[HK],非H股内地民营企业,同股不同权公司",
2050.HK,,浙江三花智能控制股份有限公司的主营业务是制冷空调电器与汽车的零件部件组件的研发、生产与销售。公司的主要产品是阀、换热器、泵、控制器、传感器。,,"联交所指定卖空证券,港股通标的股票,深港通下的港股通标的股票,港股成交额前100[HK],H股,次新股[HK],H股内地民营企业",
2097.HK,,蜜雪冰城股份有限公司是一家主要从事销售现制饮品的中国公司。该公司的主营业务是从事根据加盟模式向加盟商出售门店物料（包括食材及包材）和设备。该公司有两大品牌，包括现制茶饮品牌“蜜雪冰城”和现磨咖啡品牌“幸运咖”。蜜雪冰城的主要产品包括冰鲜柠檬水、新鲜冰淇淋、珍珠奶茶、蜜桃四季春、满杯百香果、莓果三姐妹、桑葚莓莓等产品。幸运咖的主要产品包括美式咖啡、拿铁咖啡、椰椰拿铁等产品。该公司在国内和国外市场开展业务。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,非酒精饮料[HK],H股,H股内地民营企业,餐饮连锁[HK],零售股[HK]",
2228.HK,,晶泰控股有限公司是一家主要从事为制药及材料科学等产业提供药物及材料科学研发解决方案及服务的控股公司。该公司主要经营两个业务。药物发现解决方案业务从事就新型药物发现工作为各类生物技术与制药公司和学术机构提供模块独立解决方案或与之合作。智能自动化解决方案业务从事提供固态研发服务及自动化化学合成服务。该公司在国内和国外市场开展业务。,,"人工智能[HK],创新药[HK],港股成交额前100[HK],脑机接口[HK],机器人概念[HK],联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,非H股内地民营企业,特专科技公司（18C）",
2259.HK,,紫金黄金国际有限公司是一家主要从事黄金及有色金属开采业务的投资控股公司。该公司主要从事黄金及有色金属的勘探、采矿、选矿及销售业务。该公司主要销售金条、合质金及金精矿等产品。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,港股成交额前100[HK],次新股[HK],红筹股,港股无面值公司,港股VIE架构公司",
2396.HK,,"华芢生物科技(青岛)股份有限公司成立于2012年4月24日。公司成立于2012年,是一家总部位于中国的生物制药公司,致力于开发疗法,重点是针对有医疗需求及市场机会的适应症开发蛋白质药物。公司的主攻方向是发现、开发和商业化伤口愈合的疗法,目前为PDGF药物。截至最后实际可行日期,公司的管线包含十款候选产品,其中七款为PDGF候选药物,包括两款核心产品,即用于治疗烧烫伤的Pro-101-1及用于治疗糖足的Pro-101-2,是rhPDGF-BB药物。",,"H股,次新股[HK],生物科技公司（18A）",
2408.HK,,"广州遇见小面餐饮股份有限公司成立于2014年2月14日。公司是中国一家现代中式面馆经营者。公司在中国内地和香港特别行政区经营遇见小面品牌。截至最后实际可行日期,公司的餐厅网络包括中国内地22个城市的451家餐厅及香港特别行政区的14家餐厅。凭藉公司强劲的增长势头,截至最后实际可行日期,公司有115家新餐厅处于开业前筹备中。根据弗若斯特沙利文的资料,就2024年总商品交易额而言,公司为中国第一大川渝风味面馆经营者及第四大中式面馆经营者。此外,在2024年中国前十大中式面馆经营者中,公司2022年至2024年的总商品交易额年复合增长率最高。",,"H股,次新股[HK],H股内地民营企业",
2410.HK,,浙江同源康医药股份有限公司是一家致力于开发及商业化医药产品的中国公司。该公司专注于小分子药物开发，其主要产品包括TY-9591、TY-302和TY-2136。TY-9591是一种第三代EGFR-TKI，对EGFR突变具有抗肿瘤作用。TY-302是一种为治疗乳腺癌及前列腺癌等晚期实体瘤而开发的强效、选择性口服CDK4/6抑制剂。TY-2136b为自主研发、口服ROS1/NTRK抑制剂，用于治疗实体瘤。,,"港股通标的股票,深港通下的港股通标的股票,生物医药B类[HK],联交所指定卖空证券,H股,生物科技公司（18A）",
2431.HK,,深圳佑驾创新科技股份有限公司是一家主要从事提供智能驾驶及智能座舱解决方案的中国公司。该公司主要运营三个业务。智能驾驶解决方案业务从事提供iSafety和iPilot系列。智能座舱解决方案业务从事提供驾驶员监测系统（DMS）解决方案、乘客监测系统（OMS）解决方案和其他解决方案。车路协同业务从事提供雷达和摄像头等自主设计传感器设备、自研算法等。该公司主要在国内市场开展业务。,,"宁德时代概念[HK],智能物流[HK],新能源汽车[HK],人工智能[HK],联交所指定卖空证券,无人驾驶[HK],深港通下的港股通标的股票,港股通标的股票,H股内地民营企业,H股",
2432.HK,,"深圳市越疆科技股份有限公司成立于2015年7月30日。公司是专门从事协作式机器人(通称‘协作机器人’)开发、制造及商业化的领先企业之一。根据灼识咨询报告,按2023年的出货量计,公司在全球协作机器人行业中排名前二,并在中国所有协作机器人公司中排名第一,全球市场份额为13.0%。全球协作机器人行业正处于发展初期,按收入计,其于2023年的市场规模占全球机器人行业不足2%。根据同一资料来源,按2023年全球协作机器人收入计,公司在全球协作机器人行业中排名第七,全球市场份额为3.6%。凭藉公司的自有全栈协作机器人开发技术以及关键部件的自研设计及开发,公司在负载能力、轴型及使用场景方面提供协作机器人产品组合,可满足客户在各种使用场景的不同需求。公司专注于行业创新,尤其是在协作机器人安全措施及AI功能方面引入柔性电子皮肤技术SafeSkin,并推出由AI协作机器人赋能平台X-Trainer支持的AI赋能协作机器人。截至最后可行日期,公司推出4个系列共27款协作机器人型号,可满足制造、零售、医疗健康、STEAM教育、科研等众多领域的大量使用场景。",,"联交所指定卖空证券,机器人概念[HK],港股通标的股票,深港通下的港股通标的股票,H股,H股内地民营企业,特专科技公司（18C）",
2438.HK,,出门问问有限公司是一家主要从事人工智能（AI）技术开发和智能设备销售的中国公司。该公司经营两个分部。AI软件解决方案分部主要以生成式AI与语音交互为核心，提供AIGC解决方案和AI企业解决方案。智能设备及其他配件分部主要从事智能设备及相关零配件的销售。该公司主要在国内市场开展其业务。,,"DeepSeek概念[HK],港股VIE架构公司",
2443.HK,,汽车街发展有限公司是一家主要从事提供二手车交易服务的中国投资控股公司。该公司主要经营五大业务。二手车拍卖业务透过旗下交易平台以同步拍及线上拍两种拍卖形式促成二手车交易。二手车加值服务主要专注于为上游卖家的二手车置换交易提供便利。二手车收销安排业务主要旨在协助经销商集团开展二手车业务，同时补充交易平台上的二手车供应量。展会业务主要包括为经销商集团和主机厂主办车展和展览会，以及偶尔提供广告服务。其他业务包括提供新车办证过户服务及全球定位系统（GPS）安装服务。,,"联交所指定卖空证券,非H股内地民营企业,港股VIE架构公司",
