institution,code,name,listing_date,issue_price_or_score,industry_level_1,industry_level_2,source_table
农银国际融资有限公司,2643.HK,曹操出行,2025-06-25,-14.163090128755364,公共运输,应用软件,账簿管理人
农银国际融资有限公司,2631.HK,天岳先进,2025-08-20,6.4018691588785,半导体设备与材料,半导体产品,账簿管理人
农银国际融资有限公司,2630.HK,旺山旺水-B,2025-11-06,145.72969733293377,生物技术,生物科技,账簿管理人
农银国际融资有限公司,2619.HK,香江电器,2025-06-25,-11.888111888111888,家庭电器,家用电器,账簿管理人
农银国际融资有限公司,2605.HK,元光科技,2025-06-10,-30.256410256410255,广告及宣传,广告,账簿管理人
农银国际融资有限公司,2598.HK,连连数字,2024-03-28,-7.632093933463795,支付服务,交易与支付处理服务,账簿管理人
农银国际融资有限公司,2595.HK,劲方医药-B,2025-09-19,106.4737616478666,药品,制药,账簿管理人
农银国际融资有限公司,2593.HK,草姬集团,2024-12-19,10.4,膳食补充品,医疗保健用品,账簿管理人
农银国际融资有限公司,2591.HK,银诺医药-B,2025-08-15,206.4775160599572,生物技术,制药,账簿管理人
农银国际融资有限公司,2586.HK,多点数智,2024-12-06,-54.31976166832175,数码解决方案服务,互动媒体与服务,账簿管理人
农银国际融资有限公司,2585.HK,梦金园,2024-11-29,7.5,其他零售商,其他专卖店,账簿管理人
农银国际融资有限公司,2583.HK,西普尼,2025-09-30,258.10810810810807,珠宝钟表,服装、服饰与奢侈品,账簿管理人
农银国际融资有限公司,2580.HK,奥克斯电气,2025-09-02,-5.39609644087256,家庭电器,家用电器,账簿管理人
农银国际融资有限公司,2579.HK,中伟新材,2025-11-17,-0.1176470588235294,特殊化工用品,商品化工,账簿管理人
农银国际融资有限公司,2577.HK,英诺赛科,2024-12-30,0.45366169799093,半导体,半导体产品,账簿管理人
农银国际融资有限公司,2573.HK,新琪安,2025-06-10,21.42857142857143,食品添加剂,包装食品与肉类,账簿管理人
农银国际融资有限公司,2570.HK,重塑能源,2024-12-06,0.0680272108843537,新能源物料,电子元件,账簿管理人
农银国际融资有限公司,2565.HK,派格生物医药-B,2025-05-27,-25.897435897435894,生物技术,制药,账簿管理人
农银国际融资有限公司,2560.HK,海螺材料科技,2025-01-09,-47.666666666666664,特殊化工用品,建筑材料,账簿管理人
