code,name,listing_date,record_date,margin_amount_hkd,public_offer_amount_hkd,margin_multiple,margin_over_text,currency,source_table
2598.HK,连连数字,2024-03-28,2024-03-25,818420000,61230000,20.0008,超购于12.6587倍,HKD,孖展数据
2497.HK,富景中国控股,2024-03-28,2024-03-25,2937510000,12800000,550.668,超购于228.4929倍,HKD,孖展数据
2536.HK,百乐皇宫,2024-03-26,2024-03-21,325630000,37140000,11.2618,超购于7.7667倍,HKD,孖展数据
9879.HK,米高集团,2024-03-21,2024-03-18,812300000,96750000,10.724,超购于7.3958倍,HKD,孖展数据
2509.HK,荃信生物-B,2024-03-20,2024-03-15,2955050000,24340000,290.2177,超购于120.4223倍,HKD,孖展数据
2540.HK,乐思集团,2024-03-08,2024-03-05,348330000,18750000,27.7726,超购于17.5776倍,HKD,孖展数据
2535.HK,泓基集团,2024-03-08,2024-03-05,704960000,13500000,65.0484,超购于51.2192倍,HKD,孖展数据
2477.HK,经纬天地,2024-01-12,2024-01-09,361840000,16250000,33.6019,超购于21.267倍,HKD,孖展数据
2453.HK,美中嘉和,2024-01-09,2024-01-04,104470000,64650000,1.361,超购于0.6158倍,HKD,孖展数据
2503.HK,中深建业,2024-01-09,2024-01-04,600630000,12870000,61.1867,超购于45.6617倍,HKD,孖展数据
6959.HK,长久股份,2024-01-09,2024-01-04,402390000,39930000,13.1634,超购于9.0782倍,HKD,孖展数据
2498.HK,速腾聚创,2024-01-05,2024-01-02,25040000,98510000,,未足额,HKD,孖展数据
