code,name,listing_date,record_date,margin_amount_hkd,public_offer_amount_hkd,margin_multiple,margin_over_text,currency,source_table
2675.HK,精锋医疗-B,2026-01-08,2026-01-05,97129230000,119870000,954.9259,超购于809.2593倍,HKD,孖展数据
6082.HK,壁仞科技,2026-01-02,2025-12-29,459678900000,242740000,2271.2312,超购于1892.6926倍,HKD,孖展数据
6600.HK,卧安机器人,2025-12-30,2025-12-23,38629570000,180010000,247.7774,超购于213.6012倍,HKD,孖展数据
3317.HK,迅策,2025-12-30,2025-12-23,572890000,123750000,6.0974,超购于3.6294倍,HKD,孖展数据
2671.HK,美联股份,2025-12-30,2025-12-23,2751020000,22530000,140.4588,超购于121.0852倍,HKD,孖展数据
6651.HK,五一视界,2025-12-30,2025-12-23,6286490000,36560000,198.2833,超购于170.9339倍,HKD,孖展数据
3696.HK,英矽智能,2025-12-30,2025-12-23,264483530000,227740000,1392.3987,超购于1160.3322倍,HKD,孖展数据
2657.HK,林清轩,2025-12-30,2025-12-23,112129960000,108620000,1237.6057,超购于1031.3381倍,HKD,孖展数据
2661.HK,轻松健康,2025-12-23,2025-12-18,64539060000,60190000,1285.4484,超购于1071.2070倍,HKD,孖展数据
2635.HK,诺比侃,2025-12-23,2025-12-18,6073440000,40140000,174.3458,超购于150.2981倍,HKD,孖展数据
3378.HK,翰思艾泰-B,2025-12-23,2025-12-18,152166630000,58630000,3113.3945,超购于2594.4954倍,HKD,孖展数据
2396.HK,华芢生物-B,2025-12-22,2025-12-17,53603250000,90020000,701.501,超购于594.4924倍,HKD,孖展数据
2695.HK,印象大红袍,2025-12-22,2025-12-17,37829860000,14800000,3065.8787,超购于2554.8989倍,HKD,孖展数据
2691.HK,南华期货股份,2025-12-22,2025-12-17,228860000,172260000,0.7262,超购于0.3286倍,HKD,孖展数据
2581.HK,明基医院,2025-12-22,2025-12-17,368060000,78260000,6.2215,超购于3.7032倍,HKD,孖展数据
2546.HK,智汇矿业,2025-12-19,2025-12-16,221272160000,55000000,4826.2086,超购于4021.8405倍,HKD,孖展数据
3881.HK,希迪智驾,2025-12-19,2025-12-16,1079570000,71120000,17.3003,超购于14.1805倍,HKD,孖展数据
3887.HK,HASHKEY HLDGS,2025-12-17,2025-12-12,51017060000,167200000,352.7913,超购于304.1304倍,HKD,孖展数据
2655.HK,果下科技,2025-12-16,2025-12-11,91008890000,68040000,1603.7882,超购于1336.4901倍,HKD,孖展数据
7618.HK,京东工业,2025-12-11,2025-12-08,15319340000,327380000,56.785,超购于45.7944倍,HKD,孖展数据
2659.HK,宝济药业-B,2025-12-10,2025-12-05,269209340000,100010000,3228.9291,超购于2690.7742倍,HKD,孖展数据
2687.HK,卓越睿新,2025-12-08,2025-12-03,191212320000,50740000,4521.3357,超购于3767.7797倍,HKD,孖展数据
2676.HK,纳芯微,2025-12-08,2025-12-03,3447920000,221200000,17.7965,超购于14.5873倍,HKD,孖展数据
2408.HK,遇见小面,2025-12-05,2025-12-02,21574410000,68540000,363.948,超购于313.7483倍,HKD,孖展数据
2658.HK,天域半导体,2025-12-05,2025-12-02,7708480000,174410000,53.5652,超购于43.1977倍,HKD,孖展数据
2693.HK,金岩高岭新材,2025-12-03,2025-11-28,99088880000,17740000,6701.9205,超购于5584.9338倍,HKD,孖展数据
2539.HK,乐摩科技,2025-12-03,2025-11-28,131851410000,22220000,7118.2065,超购于5931.8388倍,HKD,孖展数据
9609.HK,海伟股份,2025-11-28,2025-11-25,189794170000,44030000,5171.7015,超购于4309.7512倍,HKD,孖展数据
2685.HK,量化派,2025-11-27,2025-11-24,92922310000,13080000,8521.8277,超购于7101.5231倍,HKD,孖展数据
2788.HK,创新实业,2025-11-24,2025-11-19,186210980000,549500000,391.9332,超购于337.8734倍,HKD,孖展数据
2579.HK,中伟新材,2025-11-17,2025-11-12,7023410000,393970000,20.529,超购于16.8270倍,HKD,孖展数据
2698.HK,乐舒适,2025-11-10,2025-11-05,329241140000,238120000,1658.0301,超购于1381.6917倍,HKD,孖展数据
0800.HK,文远知行-W,2025-11-06,2025-11-03,8618360000,154440000,71.2462,超购于54.8048倍,HKD,孖展数据
2026.HK,小马智行-W,2025-11-06,2025-11-03,8836580000,755210000,13.055,超购于10.7008倍,HKD,孖展数据
0699.HK,均胜电子,2025-11-06,2025-11-03,43855730000,366040000,137.8226,超购于118.8126倍,HKD,孖展数据
2630.HK,旺山旺水-B,2025-11-06,2025-11-03,279701380000,59830000,5608.4223,超购于4673.6852倍,HKD,孖展数据
9927.HK,赛力斯,2025-11-05,2025-10-31,131999120000,1317630000,128.9329,超购于99.1792倍,HKD,孖展数据
2718.HK,明略科技-W,2025-11-03,2025-10-28,352368110000,101790000,4152.8302,超购于3460.6918倍,HKD,孖展数据
1384.HK,滴普科技,2025-10-28,2025-10-23,217743700000,35500000,7359.0558,超购于6132.5465倍,HKD,孖展数据
6031.HK,三一重工,2025-10-28,2025-10-23,52360950000,1236310000,51.2773,超购于41.3526倍,HKD,孖展数据
6166.HK,剑桥科技,2025-10-28,2025-10-23,109957820000,461570000,275.1827,超购于237.2265倍,HKD,孖展数据
6980.HK,八马茶业,2025-10-28,2025-10-23,87253990000,45000000,2325.573,超购于1937.9775倍,HKD,孖展数据
0638.HK,广和通,2025-10-22,2025-10-17,114040230000,290430000,454.3313,超购于391.6649倍,HKD,孖展数据
6687.HK,聚水潭,2025-10-21,2025-10-16,330051720000,208590000,1897.5493,超购于1581.2911倍,HKD,孖展数据
2637.HK,海西新药,2025-10-20,2025-10-14,242517080000,99360000,2927.7502,超购于2439.7918倍,HKD,孖展数据
2670.HK,云迹,2025-10-16,2025-10-13,140473500000,32980000,5109.715,超购于4258.0958倍,HKD,孖展数据
2575.HK,轩竹生物-B,2025-10-15,2025-10-10,309387180000,78110000,4751.9848,超购于3959.9873倍,HKD,孖展数据
2650.HK,挚达科技,2025-10-10,2025-10-06,217128560000,50000000,5209.6377,超购于4341.3647倍,HKD,孖展数据
8549.HK,金叶国际集团,2025-10-10,2025-10-06,58713620000,6500000,10838.2375,超购于9031.8646倍,HKD,孖展数据
2652.HK,长风药业,2025-10-08,2025-10-02,339610900000,60770000,6704.9556,超购于5587.4630倍,HKD,孖展数据
2889.HK,博泰车联,2025-09-30,2025-09-25,40607120000,106700000,440.315,超购于379.5819倍,HKD,孖展数据
2583.HK,西普尼,2025-09-30,2025-09-25,67119670000,31380000,2565.845,超购于2138.2041倍,HKD,孖展数据
2259.HK,紫金黄金国际,2025-09-30,2025-09-25,488672590000,2498430000,225.7268,超购于194.5921倍,HKD,孖展数据
9973.HK,奇瑞汽车,2025-09-25,2025-09-22,217692990000,914500000,274.9745,超购于237.0470倍,HKD,孖展数据
6090.HK,不同集团,2025-09-23,2025-09-18,213768410000,78180000,3279.7747,超购于2733.1456倍,HKD,孖展数据
2595.HK,劲方医药-B,2025-09-19,2025-09-16,359038690000,158230000,2721.7743,超购于2268.1452倍,HKD,孖展数据
2656.HK,健康160,2025-09-17,2025-09-12,25242230000,50000000,594.5344,超购于503.8427倍,HKD,孖展数据
2525.HK,禾赛-W,2025-09-16,2025-09-11,46835400000,387600000,139.0078,超购于119.8343倍,HKD,孖展数据
2543.HK,大行科工,2025-09-09,2025-09-04,253303680000,39200000,7752.2031,超购于6460.1692倍,HKD,孖展数据
2580.HK,奥克斯电气,2025-09-02,2025-08-28,82303610000,180440000,527.9481,超购于455.1276倍,HKD,孖展数据
3858.HK,佳鑫国际资源,2025-08-28,2025-08-25,193776340000,119910000,1937.9417,超购于1614.9514倍,HKD,孖展数据
6960.HK,双登股份,2025-08-26,2025-08-21,255224630000,84970000,3603.2196,超购于3002.6830倍,HKD,孖展数据
2631.HK,天岳先进,2025-08-20,2025-08-15,249253090000,102180000,2926.1255,超购于2438.4379倍,HKD,孖展数据
2591.HK,银诺医药-B,2025-08-15,2025-08-12,302659740000,68290000,5317.1461,超购于4430.9551倍,HKD,孖展数据
2627.HK,中慧生物-B,2025-08-11,2025-08-06,176167360000,51840000,4076.8897,超购于3397.4081倍,HKD,孖展数据
