code,latest_quote_date,latest_close,ma5,ma10,ma20,ma60,ma120,rsi14,macd_dif,macd_dea,macd_hist,boll_upper,boll_mid,boll_lower,atr14,ret_20d,ret_60d,vol_ratio_20d,drawdown_from_listing_high,technical_score,technical_state,buy_trigger,sell_trigger,quote_rows_for_ta
0068.HK,2026-05-12,22.700000762939453,24.363999938964845,24.447999954223633,27.0670586754294,27.0670586754294,27.0670586754294,88.3858460644551,0.7358615266714565,1.3851643565972778,-1.2986056598516424,38.54884345332671,27.0670586754294,15.585273897532087,3.8242860521588997,,,,-0.41494842244076335,21,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,17
0300.HK,2025-03-14,73.5999984741211,72.14999847412109,72.49499893188477,72.94999961853027,74.47916704813639,74.87072142180021,50.976130464365355,-0.5203843573410865,-0.5090663055802523,-0.022636103521668227,75.98453792329533,72.94999961853027,69.9154613137652,2.47857175554548,-0.03285151182821855,-0.04291291269542141,,-0.2252631739566201,50,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,111
0325.HK,2025-07-09,142.0,138.03999938964844,138.23999938964843,147.95499954223632,143.59333343505858,122.73249994913736,47.421996289662786,-4.228443432743518,-3.5591014226139457,-1.3386840202591443,178.99727764761286,147.95499954223632,116.91272143685978,10.371427263532366,-0.216767801380226,0.2792792792792793,,-0.2653905961813243,42,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,120
0470.HK,2026-05-12,53.150001525878906,56.39000015258789,56.2,55.202000045776366,47.79310351404651,47.79310351404651,49.39992123026129,2.2376724396922256,2.7532676286415168,-1.0311903778985823,61.70947851303863,55.202000045776366,48.6945215785141,4.710714340209961,0.10498967176630658,,,-0.10521885251597263,50,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,58
0600.HK,2026-05-12,22.600000381469727,22.88400001525879,22.53199996948242,22.370999908447267,23.99050854828398,23.99050854828398,48.42901010735187,0.11148640585633629,-0.08121814295287583,0.38540909761842423,24.1925773297035,22.370999908447267,20.549422487191034,1.9114285877772734,0.15364983182423342,,,-0.33333335208798964,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,59
0664.HK,2026-05-12,20.86000061035156,21.37200012207031,22.00399990081787,23.585999965667725,25.052592595418293,25.052592595418293,54.37696879323072,-1.9390095082064214,-1.8678639324152908,-0.14229115158226113,27.94558662910454,23.585999965667725,19.22641330223091,1.0542858668736046,-0.21342382163327456,,,-0.3667273381900663,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,27
0800.HK,2026-05-05,20.020000457763672,20.004000091552733,20.62799987792969,20.669999885559083,19.29616657892863,20.91008401117405,49.06194016424702,0.20592725980596782,0.4113865497907649,-0.41091857996959413,22.11277479203881,20.669999885559083,19.227224979079356,1.136428696768624,-0.03378372967124821,-0.0740055651878716,,-0.2240309670627496,50,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,119
0805.HK,2025-07-11,1.1299999952316284,1.1459999799728393,1.1599999904632567,1.2244999885559082,1.3023333271344504,1.19183332969745,38.06746768924806,-0.048097110518150465,-0.03941459011420466,-0.017365040807891613,1.3700985769642662,1.2244999885559082,1.0789014001475503,0.06714286123003274,-0.18705035477628318,-0.0504202177342542,,-0.2802548041531908,42,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,121
0999.HK,2025-06-18,8.079999923706055,8.035999965667724,8.14299988746643,8.358499979972839,9.168833327293395,9.503423428750253,39.60763941181004,-0.26844084335696117,-0.2632243618024812,-0.010432963108959914,8.880289557160502,8.358499979972839,7.836710402785176,0.23000008719308035,-0.13490366255858355,-0.3515248877232189,,-0.3515248877232189,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,111
1021.HK,2026-05-12,18.1299991607666,18.860000228881837,19.276000213623046,20.351499938964842,19.708928516932897,19.708928516932897,36.31875990421379,-0.13843459896956745,0.2162326917673103,-0.7093345814737555,24.038685151044263,20.351499938964842,16.664314726885422,1.9107138769967202,-0.07405519757862167,,,-0.2563576790461003,42,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,28
1187.HK,2026-05-12,37.400001525878906,37.71200103759766,,,,,,-0.32772121922607056,-0.151581515483444,-0.3522794074852531,,,,2.7839996337890627,,,,-0.03856040979849573,50,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,5
1276.HK,2025-11-19,70.6500015258789,71.36000061035156,71.30499954223633,73.25499992370605,80.5074998219808,74.19333327611288,37.60188530143543,-2.7626832983615373,-2.931793363313145,0.3382201299032159,78.79356482583599,73.25499992370605,67.71643502157612,2.4071448189871654,-0.09539048775667758,-0.07526177860156591,,-0.24920294716786084,50,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,125
1304.HK,2026-01-05,138.5,134.3999984741211,128.18999862670898,127.31499900817872,144.56999905904135,157.86583309173585,59.02860305439421,-0.8651495979588049,-3.811469745140906,5.8926402943642024,139.60676381627047,127.31499900817872,115.02323420008695,5.321429661342078,0.07866048741137965,-0.2926455677153954,,-0.341103701185576,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,123
1318.HK,2025-06-06,112.3000030517578,116.08000030517579,114.28000030517578,109.02500038146972,105.175,86.01398299912275,52.48573165793267,3.7632690759218264,3.149791952753445,1.2269542463367626,124.00595320862205,109.02500038146972,94.0440475543174,9.582143511090958,0.08293159456704657,0.3165298831656207,,-0.11921566233915448,70,趋势延续,回踩20日线缩量企稳，或放量突破20日高点,放量跌破20日线，或从高点回撤≥15%,118
1333.HK,2025-11-03,34.79999923706055,34.619999694824216,35.097999572753906,36.80399990081787,38.27866636912028,34.86216648419698,43.95664870510676,-1.34928625900708,-1.1082916602335338,-0.48198919754709246,42.52872504269094,36.80399990081787,31.079274758944806,2.091428211757115,-0.1853932995630243,0.2682215218570403,,-0.2842451665658332,42,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,125
1334.HK,2025-01-06,0.9300000071525574,0.9560000181198121,1.0190000057220459,1.0445000022649764,0.9391666660706203,0.9799999992052714,39.614473394472036,0.0020491551200834124,0.025858398620028623,-0.04761848699989042,1.1898091056672024,1.0445000022649764,0.8991908988627504,0.06857141852378848,0.056818195672567295,0.09411762478442398,,-0.2900762994086127,42,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,122
1354.HK,2024-12-30,30.0,32.3,31.130000114440918,30.7375,24.659833240509034,19.69491659005483,50.65245374221889,1.2816115229800218,1.5110323257543232,-0.45884160554860287,33.33058273527749,30.7375,28.14441726472251,0.9535711833408901,-0.07264292380109427,0.28205130295144243,,-0.2727272727272727,42,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,123
1364.HK,2025-08-11,23.15999984741211,24.179999923706056,23.88499984741211,24.37499990463257,25.57416671117147,21.40175000826518,41.03844775840968,-0.45151810569450035,-0.45113031160806777,-0.0007755881728651604,26.366746032330926,24.37499990463257,22.383253776934215,1.1064286913190569,-0.1578181873668324,-0.04691355660249552,,-0.21491525940975897,50,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,123
1384.HK,2026-04-24,55.79999923706055,64.8,68.09999961853028,49.91999969482422,71.7279998143514,73.75949567906997,47.72190912630163,1.4559769916473684,-0.9803265717924459,4.872607126879629,89.3184167055825,49.91999969482422,10.521582684065947,11.898571150643486,0.6939891185003213,-0.2855313658482309,,-0.5271186505333851,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,119
1471.HK,2025-01-28,13.5600004196167,13.136000061035157,12.176000022888182,11.29099988937378,9.976999958356222,8.181764690815902,67.80805079126726,0.7746879105763647,0.496490167003118,0.5563954871464933,13.916148941419264,11.29099988937378,8.665850837328295,0.9321427345275886,0.20212772523221934,0.9482759116804413,,-0.015965117388798133,70,趋势延续,回踩20日线缩量企稳，或放量突破20日高点,放量跌破20日线，或从高点回撤≥15%,119
1609.HK,2026-05-12,199.3999938964844,207.23999633789063,,,,,,-2.6285373276949713,-0.8697141329346498,-3.517646389520643,,,,28.816665649414066,,,,-0.08699633942758023,50,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,6
1641.HK,2026-05-12,6.599999904632568,6.634000015258789,6.738000011444091,6.928500008583069,7.293333347638448,7.906329124788694,40.76021843530649,-0.15069833570404167,-0.13629552255888755,-0.02880562629030825,7.410263205284874,6.928500008583069,6.446736811881264,0.24428568567548478,-0.0364963508730749,-0.19708032965573175,,-0.4875776517088133,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,79
1768.HK,2026-05-12,427.7999877929688,442.35999755859376,439.56000061035155,421.1199981689453,407.0566670735677,406.1852946561926,52.639601229050456,11.759890728204141,10.569709499608194,2.380362457191893,466.4817801080527,421.1199981689453,375.7582162298379,24.5142822265625,0.0885495872594626,0.1228346136298395,,-0.08118560527282903,62,趋势转强,连续2日站上20日线且成交额≥20日均值1.3倍,跌破关键均线或放量破位,68
1828.HK,2026-01-02,38.20000076293945,38.14400024414063,38.239999771118164,38.32099990844726,39.70300006866455,40.71833330790202,43.61029017908122,-0.3421983723808637,-0.41562448702595933,0.14685222929019126,39.05104460030688,38.32099990844726,37.590955216587645,0.8900002070835669,-0.013939104081853948,-0.16956520080566406,,-0.2326235094480047,50,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,124
1879.HK,2026-05-12,829.5,869.1,874.1,874.1,874.1,874.1,,-5.117483151428814,-1.5163361558596162,-7.202293991138396,962.8616033103403,874.1,785.3383966896597,112.7,,,,-0.11614278103356424,50,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,10
1989.HK,2026-05-12,194.8000030517578,205.0800018310547,192.0500015258789,170.75500106811523,144.51969770951703,144.51969770951703,67.12921704726193,23.78563429530115,22.557752108611453,2.4557643733793952,223.1114117582735,170.75500106811523,118.39859037795696,18.04285648890904,0.4591760528221558,,,-0.09310986832332979,70,趋势延续,回踩20日线缩量企稳，或放量突破20日高点,放量跌破20日线，或从高点回撤≥15%,33
2026.HK,2026-05-05,81.9000015258789,78.50999908447265,82.14499969482422,80.47250022888184,92.91916631062826,104.35630246971836,48.35502263021651,-2.1406281150206183,-2.4644452759832047,0.6476343219251728,93.04914880760687,80.47250022888184,67.89585165015681,4.782143729073661,0.11885252650745692,-0.2758620457044586,,-0.3999999888214,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,119
2050.HK,2025-12-19,34.79999923706055,33.64399948120117,35.08999938964844,34.47399959564209,37.142666530609134,33.09608319600423,49.63983626536517,-0.35600862750562356,-0.3445712880020081,-0.022874679007230947,37.67026302911303,34.47399959564209,31.27773616217115,1.809999738420759,0.10616656865182095,-0.13043481161906068,,-0.23784495502943104,62,趋势转强,连续2日站上20日线且成交额≥20日均值1.3倍,跌破关键均线或放量破位,126
2097.HK,2025-08-29,431.7999877929688,458.1999938964844,461.2399963378906,461.82999725341796,496.4449986775716,480.6583323160807,37.06212943752192,-9.786576913129693,-9.20598668205598,-1.1611804621474242,495.7548115651373,461.82999725341796,427.9051829416986,17.957140241350437,-0.06738663543635248,-0.23978875388561827,,-0.2984565592315698,42,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,124
2228.HK,2024-12-10,4.329999923706055,4.690000057220459,4.105000042915345,4.318500006198883,8.237500027815502,7.534000029166539,40.37518257007487,-0.8005230410779696,-1.0847588499062941,0.5684716176566491,5.659360258905243,4.318500006198883,2.977639753492524,0.654999988419669,-0.18761726347355745,-0.6915954461915417,,-0.7224359091138618,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,124
2259.HK,2026-03-27,172.0,174.56000061035155,176.4,194.69500122070312,194.73666712443034,167.27583306630453,38.69099654226288,-10.268210937643062,-7.540070260886722,-5.456281353512679,238.18058361276326,194.69500122070312,151.20941882864298,12.942858014787948,-0.26432849548798654,0.19031141868512114,,-0.3206950944981277,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,120
2396.HK,2026-05-12,6.059999942779541,5.942000007629394,6.38100004196167,6.852500009536743,7.861166675885518,9.659891309945479,28.52329546226089,-0.4946205450570167,-0.4180321607328953,-0.1531767686482428,8.078857419225232,6.852500009536743,5.626142599848254,0.25714281627110075,-0.1721311747723444,-0.3167981938031812,,-0.7755555576748319,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,92
