p05309_f001,p05309_f002,p05309_f003,p05309_f016,p05309_f004,p05309_f017,p05309_f005,p05309_f018,p05309_f006,p05309_f019,p05309_f009,p05309_f008,p05309_f011,p05309_f014,p05309_f010,p05309_f015,p05309_f012,p05309_f013
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,贵州省新型工业化发展股权投资基金合伙企业(有限合伙),"贵州新型工业化基金于2021年3月29日在中国贵州成立,主要从事先进制造及新材料产业的战略股权投资及产业合作。",贵州省人民政府国有资产监督管理委员会,,22159800,759602820.0000,HKD,21.2600,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,宝达投资(香港)有限公司,"宝达投资为于1984年10月30日在香港注册成立的有限公司,主要从事商品贸易、投资、船舶租赁及融资租赁。",厦门国贸集团股份有限公司,"厦门国贸集团股份有限公司为股份于上海证券交易所上市的公司(股份代号600755),主要从事供应链管理业务、健康科技业务等。",6383400,216696510.0000,HKD,6.1200,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,中创新航科技集团股份有限公司,"中创新航科技集团是一家于2015年12月8日在中国注册成立的股份有限公司,其股份于香港联交所上市(股份代号03931)。中创新航科技集团主要为以动力及储能为代表的新能源全场景应用市场提供完善的产品解决方案和全生命周期管理。",,,4523000,153784620.0000,HKD,4.3400,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,东圣先行科技及国泰君安证券投资(香港)有限公司,"国泰君安证券投资(香港)有限公司是一家在香港注册成立的公司。其主要业务活动为贸易及投资。该公司由中国领先的证券公司国泰海通证券股份有限公司间接全资拥有,该公司股票在上海(上交所601211)和香港(联交所2611)双重上市。
    国泰海通最终客户(东圣先行科技)是一家于1999年12月10日在中国注册成立的有限责任公司,主要从事新能源行业的动力电池材料领域研究。",国泰海通证券股份有限公司及高力先生,"国泰海通证券股份有限公司股票在上海(上交所601211)和香港(联交所2611)双重上市。
  高力先生拥有超过20年的投资经验,且为独立第三方",3426400,116503500.0000,HKD,3.2900,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,NR 1 SP,"NR 1 SP为North Rock SPC(‘North Rock基金’)的独立投资组合,该公司为于开曼群岛注册成立的获豁免公司,并根据开曼公司法(经修订)注册为独立投资组合公司。","North Rock Capital Management, LLC","North Rock Capital Management, LLC是一家建立在全球多项目管理投资平台的投资管理公司。",3426400,116503500.0000,HKD,3.2900,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,上海高毅及华泰资本投资有限公司,"华泰资本投资有限公司为华泰证券的间接全资附属公司。上海高毅为于中国成立的有限合伙企业,从事资产管理及投资管理,主要专注于二级市场投资。",华泰证券股份有限公司,"华泰证券的股份于上海证券交易所(股份代号601688)及联交所(股份代号6886)上市,其全球存托凭证于伦敦证券交易所(伦敦证券交易所HTSC)上市。",2512800,85435900.0000,HKD,2.4100,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,蓝思国际(香港)有限公司,蓝思国际(香港)有限公司是一家在香港注册成立的有限公司。,蓝思科技股份有限公司,"蓝思科技股份有限公司作为行业领先的一站式智能制造综合解决方案提供商,蓝思科技业务布局广泛,涵盖智能手机与电脑、智能汽车与座舱、智能头显与可穿戴设备、人形机器人及其他智能终端领域,提供结构件、功能模块及整机组装等解决方案,蓝思科技在消费电子及智能汽车行业的大规模精密研发与制造领域积淀了多年经验。",2284200,77669000.0000,HKD,2.1900,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,湖南兴湘新兴产业投资基金合伙企业(有限合伙),"湖南兴湘新兴产业投资基金合伙企业(有限合伙)(‘湖南兴湘新兴产业母基金’)为于2020年8月13日在中国成立的私募股权基金,旨在支持湖南省现代产业体系的发展,重点投向战略新兴产业。",湖南省人民政府国有资产监督管理委员会,,2284200,77669000.0000,HKD,2.1900,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,欣旺达财资(香港)有限公司,"欣旺达财资(香港)有限公司是一家于2024年9月17日在香港注册成立的有限公司,主要从事投融资服务、供应链融资及国际贸易咨询。",欣旺达电子股份有限公司,"欣旺达电子股份有限公司，一家股份于深圳证券交易所上市(股份代号300207)的公司,主要专注于锂离子电池行业。",1595800,54368300.0000,HKD,1.5300,6,2026/05/17,特殊化工用品,商品化工
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,南京生物医药谷建设发展有限公司及华泰资本投资有限公司,"华泰资本投资有限公司(‘华泰资本投资’)将作为其与华泰证券股份有限公司(‘华泰证券’)订立的一笔背对背总收益掉期交易(‘华泰背对背TRS’)的单一交易对手方,该交易与由最终客户(‘最终客户(BPV)’)下达并由其全额出资的总收益掉期订单(‘华泰客户TRS’)相关联,透过该订单,华泰资本投资会将向其交付的发售股份的全部经济风险最终转移给最终客户(BPV)。华泰资本投资将以非全权酌情方式持有发售股份,以对冲与最终客户(BPV)下达的华泰客户TRS订单相关的华泰背对背TRS,并将透过华泰背对背TRS和华泰客户TRS,最终将发售股份的全部经济风险转移给最终客户(BPV),但需扣除常规费用和佣金。华泰资本投资不会因发售股份而获得任何经济收益,亦不会承担任何相关的经济损失。最终客户(BPV)在自华泰资本投资、本公司、整体协调人及联席保荐人签署基石投资协议之日起至上市日期后六个月当日止的禁售期届满后,可自行决定提前终止华泰客户TRS。于华泰客户TRS到期或由最终客户(BPV)提前终止时,华泰资本投资将相应地终止华泰背对背TRS,并在二级市场处置发行股份,而最终客户(BPV)将根据华泰背对背TRS和华泰客户TRS的条款及条件,以现金形式获得华泰客户TRS的最终结算金额。在华泰背对背TRS的有效期内,华泰资本投资将不会行使发售股份的投票权。",,,4775600,95961600.0000,HKD,11.3800,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,黄河投资有限公司,黄河投资有限公司(‘黄河’)由腾讯控股有限公司(‘腾讯控股’)全资拥有。,腾讯控股有限公司,腾讯是一家在联交所上市的公司(股份代号00700(港币柜台)和80700(人民币柜台))。腾讯于中国主要从事提供通讯、社交、数字内容、游戏、营销服务、金融科技及商业服务。,3117800,62668800.0000,HKD,7.4300,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,Foresight Global Superior Choice SPC — Vision Fund 1 SP,均为Foresight Global Superior Choice SPC的子基金，该公司于2016年10月17日在开曼群岛注册成立。,睿远基金(香港)有限公司,"睿远香港于2022年4月26日在香港注册成立,并自2023年3月24日起成为证券及期货条例所规定的第4类(证券咨询)和第9类(资产管理)的持牌公司。睿远基金管理有限公司是基金的投资顾问,该公司是一家总部位于上海的资产管理公司,由陈光明先生创立。",993800,19975680.0000,HKD,2.3700,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,LAV Star Limited,"LAV Star Limited（‘ LAV Star’）由 LAV Fund VI, L.P.（‘ LAV Fund VI’）全资拥
有。LAV Fund VI的普通合伙人为LAV GP VI, L.P.，LAV GP VI, L.P.的普通合伙人为LAV Corporate VI GP, Ltd.（一家由施毅博士（‘施博士’）全资拥有的开曼获豁免公司）。 LAV Fund VI的有限合伙人均未持有30%或以上的合伙权益。",施毅,,974200,19584000.0000,HKD,2.3200,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,First Quarter Moon OFC — Phecda Fund,"First Quarter Moon OFC — Phecda Fund(‘子基金’)是First Quarter Moon OFC的一个子基金,First Quarter Moon OFC于2025年11月在香港注册成立,受香港证监会监管,主要从事于香港、中国及美国股票市场的投资,并由上弦月资产管理有限公司全权委托管理。",Xin Huang、张炜林、景麒駪及张荣荣,,974200,19584000.0000,HKD,2.3200,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,LAV Star Opportunities,"LAV Star Opportunities Limited（‘ LAV Star Opportunities’）由 LAV Fund VI 
Opportunities, L.P.（‘ LAV Opportunities’）全资拥有。LAV Opportunities的普通合伙
人为LAV GP VI Opportunities, L.P.，LAV GP VI Opportunities, L.P.的普通合伙人为LAV Corporate VI GP Opportunities, Ltd.（一家由施博士全资拥有的开曼获豁免公司）。
LAV Opportunities的有限合伙人均未持有30%或以上的合伙权益。",施毅,,974200,19584000.0000,HKD,2.3200,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,Prosper High Holding Limited,"Prosper High Holding Limited(‘Prosper High’)为一家于开曼群岛注册成立的获豁免有限公司。Prosper High由TPP Fund II,L.P.全资拥有,TPP Fund II,L.P.的普通合伙人为TPP GP II,Ltd.,而TPP GP II,Ltd.由腾讯控股最终控制。",腾讯控股有限公司,腾讯是一家在联交所上市的公司(股份代号00700(港币柜台)和80700(人民币柜台))。腾讯于中国主要从事提供通讯、社交、数字内容、游戏、营销服务、金融科技及商业服务。,776000,15588864.0000,HKD,1.8500,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,Foresight Global Superior Choice SPC — Global Superior Choice Fund 1 SP,均为Foresight Global Superior Choice SPC的子基金，该公司于2016年10月17日在开曼群岛注册成立。,睿远基金(香港)有限公司,"睿远香港于2022年4月26日在香港注册成立,并自2023年3月24日起成为证券及期货条例所规定的第4类(证券咨询)和第9类(资产管理)的持牌公司。睿远基金管理有限公司是基金的投资顾问,该公司是一家总部位于上海的资产管理公司,由陈光明先生创立。",565000,11358720.0000,HKD,1.3500,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,Worldwide Healthcare Partners LLC,Worldwide Healthcare Partners LLC（‘ WWHCP’）是一家依据特拉华州法律成立的有限责任公司。,Samuel Isaly,,389600,7833600.0000,HKD,0.9300,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,Foresight Global Superior Choice SPC-Horizon Next SP,均为Foresight Global Superior Choice SPC的子基金，该公司于2016年10月17日在开曼群岛注册成立。,睿远基金(香港)有限公司,"睿远香港于2022年4月26日在香港注册成立,并自2023年3月24日起成为证券及期货条例所规定的第4类(证券咨询)和第9类(资产管理)的持牌公司。睿远基金管理有限公司是基金的投资顾问,该公司是一家总部位于上海的资产管理公司,由陈光明先生创立。",194800,3916800.0000,HKD,0.4600,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,Foresight Global Superior Choice SPC-Horizon Fund 1 SP,均为Foresight Global Superior Choice SPC的子基金，该公司于2016年10月17日在开曼群岛注册成立。,睿远基金(香港)有限公司,"睿远香港于2022年4月26日在香港注册成立,并自2023年3月24日起成为证券及期货条例所规定的第4类(证券咨询)和第9类(资产管理)的持牌公司。睿远基金管理有限公司是基金的投资顾问,该公司是一家总部位于上海的资产管理公司,由陈光明先生创立。",194800,3916800.0000,HKD,0.4600,6,2026/11/13,生物技术,制药
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,"BlackRock, Inc.","贝莱德于纽约证券交易所上市(股份代号:BLK)。截至2026年3月31日,该公司代表全球投资者管理约13.9万亿美元的资产。",,,37304500,391700000.0000,HKD,18.5400,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,UBS Asset Management (Singapore) Ltd.,"UBS Asset Management (Singapore) Ltd.(‘UBS AM Singapore’)为一家于1993年12月在新加坡注册成立的公司,作为投资经理的委托人并全权代表以下基金与本公司、联席保荐人及整体协调人订立基石投资协议:(i) UBS (Lux) Equity Fund — Greater China (USD);(ii) UBS (Lux) Equity Fund — China Opportunity (USD);(iii)UBS (HK) Fund Series — China Opportunity Equity (USD);(iv) UBS (Lux) Equity SICAV — All China (USD);(v) UBS (CAY) China A Opportunity;及(vi) Eskom Pension and Provident Fund。",UBS Group AG,UBS Group AG的股份于瑞士证券交易所(股份代号:UBSG)及纽约证券交易所(股份代号:UBS)上市。,11191000,117510000.0000,HKD,5.5600,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,国风投创新投资基金股份有限公司,国风投创新投资基金股份有限公司为一家于中国注册成立的公司。,中国国务院,,7460500,78340000.0000,HKD,3.7100,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,"HHLR Advisors, Ltd.","HHLR Advisors, Ltd.(‘HHLRA’)为一间于开曼群岛注册成立的获豁免公司,担任投资基金(统称‘HHLRA基金’)的投资经理,该等投资基金为根据开曼群岛法律成立的有限合伙。HHLRA与行业领先的企业合作,旨在与医疗保健、工业、消费者和商业服务领域的可持续发展、具有前瞻性的公司合作。HHLRA为包括非营利基金会、捐赠基金和养老基金在内的全球机构管理资本。HHLRA以投资管理人的身份代表HHLRA基金与本公司订立基石投资协议。",,,5968500,62672000.0000,HKD,2.9700,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,"未来资产证券(香港)有限公司及Mirae Asset Securities Co., Ltd.","未来资产证券(香港)有限公司(‘未来资产证券香港’)及Mirae Asset SecuritiesCo., Ltd.(‘未来资产证券’,连同未来资产证券香港统称为‘未来资产’)已分别与本公司订立基石投资协议。未来资产证券香港为未来资产证券的全资附属公司,于2005年7月在香港成立,并获证监会发牌从事第9类(提供资产管理)受规管活动。未来资产证券为大韩民国规模最大的投资银行之一,提供全面的金融服务,包括经纪、财富管理、投资银行、销售及交易以及自营投资。未来资产证券于韩国交易所上市,股票代码为006800.KS。未来资产证券香港为全权基金Mirae Asset Visionary X Fund的基金管理人,代表Mirae Asset Visionary X Fund认购发售股份,而未来资产证券以专有方式进行此项交易。","Mirae Asset Capital Co., Ltd.",大韩民国金融投资公司。,5968500,62672000.0000,HKD,2.9700,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,"RTW Master Fund, Ltd.、RTW Innovation Master Fund, Ltd.及RTW Biotech Opportunities Ltd.","RTW Master Fund, Ltd.(‘RTW Master Fund’,一家于开曼群岛注册成立的私募投资基金)、RTW Innovation Master Fund, Ltd.(‘RTW Innovation Fund’,一家于开曼群岛注册成立的私募投资基金)及RTW Biotech Opportunities Ltd.(作为RTW Biotech Opportunities Operating Ltd.的唯一股东)(‘RTW Biotech’,一家于根西岛注册成立的上市投资基金,连同RTW Master Fund及RTW Innovation Fund,统称‘RTW基金’)均为集体投资工具,由数百名基础投资者组成,包括高净值个人、机构投资者、基金中的基金等。截至2025年12月31日,RTW Master Fund、RTW Innovation Fund及RTW Biotech的管理资产规模分别约为44亿美元、37亿美元及8.65亿美元。截至2025年12月31日,RTW Master Fund与RTW Innovation Fund分别拥有1,433名及356名有限合伙人,其中概无任何人士持有相关基金30%或以上的合伙权益。RTW Biotech为一支于伦敦证券交易所上市的基金(股份代号:RTW)。",Rod Wong,,3730000,39170000.0000,HKD,1.8500,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,广发基金管理有限公司及广发国际资产管理有限公司,"广发基金管理有限公司(‘广发基金管理’)及广发国际资产管理有限公司(‘广发基金香港’,与广发基金管理统称为‘广发基金’)分别与本公司订立基石投资协议。广发基金管理成立于2003年8月5日。截至2025年12月31日,其在管资产超过人民币2万亿元,担供全面的产品服务,涵盖主动型股权、债券、货币市场、境外投资、被动型投资、FOF、量化对冲等领域,以满足境内外客户多元化的投资需求。广发基金香港是广发基金管理的全资附属公司。广发基金香港(香港证券及期货事务监察委员会中央编号:AXL121)于2010年12月在香港注册成立。其获证监会发牌可在香港进行第1类(证券交易)、第4类(就证券提供意见)及第9类(提供资产管理)受规管活动。广发基金香港担任其母公司广发基金管理的全球投资及业务平台。作为广发基金管理的海外窗口公司,广发基金香港战略化联通中国及海外市场。凭藉广发基金管理的投资及研究能力以及其在海外市场的竞争优势,广发基金香港为其客户提供全面优质服务。",广发证券股份有限公司,"广发基金管理的控股股东为广发证券股份有限公司(‘广发证券’,一家于联交所(股份代号:1776)及深圳证券交易所(股票代码:000776)上市的股份有限公司),其持有广发基金管理的54.53%股本权益。",3730000,39170000.0000,HKD,1.8500,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,工银瑞信基金管理有限公司及工银瑞信资产管理(国际)有限公司,"工银瑞信基金管理有限公司(‘工银瑞信’)及工银瑞信资产管理(国际)有限公司(‘工银瑞信国际’,连同工银瑞信统称为‘工银瑞信实体’)已分别与本公司订立基石投资协议。工银瑞信是中国首家由国有商业银行直接发起并控股的合资基金管理公司,成立于2005年6月21日,总部位于北京市西城区金融大街5号新盛大厦。工银瑞信由中国工商银行(80%)与瑞士银行(20%)共同出资设立,注册资本为人民币2亿元,持有公募基金、QDII、企业年金等多项业务资格,是业内‘全资格’基金管理公司之一。截至2025年12月31日,工银瑞信(包括其附属公司)旗下管理公募基金272只,资产管理总规模人民币2.37万亿元,养老金管理规模行业领先,投研团队由230名专业人员组成,投资人员平均从业经验12年。工银瑞信国际获香港证券及期货事务监察委员会发牌可进行第1类(证券交易)、第4类(就证券提供意见)及第9类(提供资产管理)受规管活动。工银瑞信国际于香港注册成立,并由工银瑞信全资拥有。",中国工商银行,,3730000,39170000.0000,HKD,1.8500,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,富国基金管理有限公司,"富国基金管理有限公司(‘富国基金’)为一家于1999年4月在中国成立的基金管理公司,亦为首批获中国证监会等监管机构批准的十家基金管理公司之一,已取得在中国提供资产管理服务的所有牌照。富国基金的注册资本为人民币520百万元,其主要业务范围包括向国内外客户提供传统基金管理服务、资金募集、基金销售及资产管理解决方案。富国基金为有关中国主管部门批准的合格境内机构投资者(QDII),亦为中国首批十家基金管理公司中,首家实现外资参股的基金管理公司。富国基金全权管理的拟认购发售股份的相关基金,均为在中国证监会注册的开放式公开募集证券投资基金。",,,3730000,39170000.0000,HKD,1.8500,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,华夏基金(香港)有限公司,"华夏基金(香港)作为香港首屈一指的中国基金管理公司,凭藉其经验丰富的投资及研究团队的专业知识及其股东公司在中国内地的资源、服务及联系,致力于发展离岸及跨境资产管理业务。",中信证券股份有限公司,一家于上海证券交易所(股票代码:600030)及联交所(股份代号:6030)上市的公司,3730000,39170000.0000,HKD,1.8500,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,"Isometry Global Master Fund, L.P.","Isometry Global Master Fund, L.P.(‘Isometry Global’)是一家由Isometry Capital, LLC(‘Isometry Capital’)全权管理的私募投资基金,Isometry Capital则为一家在美国注册成立并受美国证券交易委员会规管的全球投资管理公司。",Suhaib Jamjoom,Isometry Capital的共同创办人兼首席投资官Suhaib Jamjoom。,3730000,39170000.0000,HKD,1.8500,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,Huadeng Technology Piovt Ventures Ltd,Huadeng Technology Piovt Ventures Ltd(‘Huadeng Technology’)为一家于英属维尔京群岛注册成立的公司。Huadeng Technology及其联属公司在半导体及AI产业方面拥有稳健的工业及投资背景。,,,3730000,39170000.0000,HKD,1.8500,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,"Deerfield Management Company, L.P.","Deerfield Management Company, L.P.(‘Deerfield’)为一家特拉华州有限合伙企业,全权担任Deerfield Healthcare Innovations Fund II, L.P.、Deerfield Healthcare Innovations Fund III, L.P.、Deerfield Healthcare Innovations Fund III-A, L.P.及Deerfield Private Design Fund V, L.P.(统称‘Deerfield投资者基金’)及若干其他投资基金的投资管理人。截至2025年12月31日,Deerfield的在管资产约有163亿美元。自1994年起,Deerfield一直是专注于医疗保健的专业投资管理人,在治疗、医疗技术及医疗保健服务等医疗保健行业拥有超过30年的投资经验。",,,3730000,39170000.0000,HKD,1.8500,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,Arc Avenue Asset Management Pte. Ltd.,"Arc Avenue Asset Management Pte. Ltd.(‘Arc Avenue’)为一家在新加坡注册成立的基金管理公司,受新加坡金融管理局(‘MAS’)监管。该公司持有获认可 ╱ 机构持牌基金管理公司(A/I LFMC)牌照,授权其专为获认可和机构投资者管理投资基金。该公司专门从事资产管理,主要专注于股权投资基金。Arc Avenue拥有一支业界知名的投资团队,专注于投资于AI、TMT、消费、医疗健康及先进制造等领域,旨在通过深入的行业分析以及对新兴科技及消费趋势的精准把握,发掘能变革行业商业模式的优秀企业以及最具前瞻性的企业家。",,,3730000,39170000.0000,HKD,1.8500,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,LBC HK Opportunity Fund Limited、Lake Bleu Prime Healthcare Master Fund Limited及Lake Bleu Innovation Healthcare Master Fund Limited,"Lake Bleu Prime Healthcare Master Fund Limited(‘Lake Bleu Prime’)为一只专注于亚洲 ╱ 大中华市场的多头公开股权基金。该基金主要投资于不同领域(包括医疗保健)及其他行业的上市股票。近期,Lake Bleu Prime作为基石投资者投资劲方医药(股份代号:2595)、映恩生物(股份代号:9606)、昭衍(股份代号:6127)、京东健康股份有限公司(股份代号:6618)、微创心通医疗科技有限公司(股份代号:2160)、康方生物科技(开曼)有限公司(股份代号:9926)、康龙化成(北京)新药技术股份有限公司(股份代号:3759)、荣昌生物制药(烟台)股份有限公司(股份代号:9995)、海吉亚医疗控股有限公司(股份代号:6078)及康基医疗控股有限公司(股份代号:9997)。Lake Bleu Prime致力于协助其投资组合公司实施增值计划,并已成功支持众多公司实现该目标。Lake Bleu Innovation Healthcare Master Fund Limited(‘Lake Bleu Innovation’)为一只专注于亚洲╱大中华市场的多头公开股权基金。该基金主要投资于不同领域(包括医疗保健)及其他行业的上市股票。Lake Bleu Innovation致力于协助其投资组合公司实施增值计划,并已成功支持众多公司实现此目标。LBC HK Opportunity Fund Limited(‘LBC HK Opportunity’,连同Lake BleuPrime及Lake Bleu Innovation统称为‘Lake Bleu’)为一只多头基金,主要投资于香港市场不同领域(包括医疗保健)及其他行业的上市股票。",李斌,,2984000,31336000.0000,HKD,1.4800,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,Sage Partners Master Fund,"Sage Partners Master Fund(‘Sage Partners’)为一家于开曼群岛注册成立的获豁免有限公司。Sage Partners为一只全权基金,主要透过部署长期基本面方法,专注于医疗保健及新兴技术的投资机会。",王斐,,2984000,31336000.0000,HKD,1.4800,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,工银理财有限责任公司,"工银理财有限责任公司(‘工银理财’)于2019年5月在北京正式成立,注册资本为人民币160亿元。工银理财经营范围为面向不特定社会公众公开发行理财产品,对受托的投资者财产进行投资和管理;面向合格投资者非公开发行理财产品,对受托的投资者财产进行投资和管理;理财顾问和咨询服务;经国务院银行业监督管理机构批准的其他业务。",中国工商银行股份有限公司,"A股股份代号:601398,H股股份代号:1398。",1492000,15668000.0000,HKD,0.7400,6,2026/11/13,生物技术,生物科技
7666.HK,剂泰科技-P,2026/05/13,2026/05/05,2026/05/12,是,Lazurite Hime L.P.,Lazurite Hime L.P.(‘Lazurite Hime’)(参与基石配售的基石投资者)为一家于开曼群岛金融管理局注册为私人基金的开曼群岛获豁免有限合伙企业。,ORIX Corporation,"ORIX Corporation(东京证券交易所代号:8591;纽约证券交易所代号:IX)。ORIX Corporation的在管资产为74万亿日圆。ORIX Group(ORIX Corporation的东京证券交易所代号:8591;纽约证券交易所代号:IX)于1964年成立,由日本的租赁业务起步,逐步发展成为一家全球化、多元化且独具特色的企业集团。至今,其业务遍及全球,积极进行融资与投资、人寿保险、银行业务、资产管理、房地产、特许经营、环境与能源、汽车相关服务、工业╱信息通信技术设备、船舶及飞机等业务。自1971年拓展至日本境外以来,ORIX Group的业务已实现全球化发展,目前业务遍及全球约30个国家及地区。",1492000,15668000.0000,HKD,0.7400,6,2026/11/13,生物技术,生物科技
1236.HK,乐动机器人,2026/05/11,2026/04/30,2026/05/08,是,康成亨远景投资有限公司,康成亨远景投资有限公司为一家在香港注册成立的有限公司。,诸暨市财政局,,10508200,277000000.0000,HKD,31.5200,6,2026/11/11,数码解决方案服务,工业机械和用品及零部件
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,蓝思科技(香港)有限公司,"蓝思科技(香港)为一家根据香港法律注册成立的有限公司,主要专注于贸易业务。",周群飞,,1990900,78305000.0000,HKD,7.3700,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,长沙雨丰科技有限公司,长沙雨丰为一家于中国成立的有限责任公司及独立第三方。,长沙市雨花区人民政府及雨花经济开发区管理委员会,,1390700,54735195.0000,HKD,5.1500,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,远信(珠海)私募基金管理有限公司及中国银河国际投资有限公司,"中国银河国际投资与中国银河证券股份有限公司(‘中国银河证券’)将彼此并与其最终客户(‘中国银河国际投资最终客户(远信投资)’)订立一系列跨境delta-one股权场外掉期交易(统称‘远信投资场外掉期’),据此,中国银河国际投资将以非全权委托方式持有发售股份,以对冲远信投资场外掉期,而相关发售股份的经济风险及回报最终由远信投资承担,惟须支付惯常费用及佣金。远信投资场外掉期将由中国银河国际投资最终客户(远信投资)全额出资。于远信投资场外掉期的期限内,中国银河国际投资认购的发售股份的所有经济回报将通过远信投资场外掉期转移至中国银河国际投资最终客户(远信投资),且所有经济损失将由中国银河国际投资最终客户(远信投资)承担,而中国银河国际投资将不参与发售股份相关的任何经济回报,亦不承担任何经济损失。远信投资场外掉期与发售股份挂钩,中国银河国际投资最终客户(远信投资)可于中国银河国际投资与公司订立的相关基石协议当日起至上市日期起计满六个月当日止的禁售期届满后,自行决定要求提早终止远信投资场外掉期,届时中国银河国际投资可根据远信投资场外掉期的条款及条件处置发售股份并以现金结算远信投资场外掉期。据中国银河国际投资经作出一切合理查询后所深知,各中国银河国际投资最终客户(远信投资)均为中国银河国际投资及中国银河国际投资同一集团成员公司的独立第三方,且除刘岩先生外,概无单一最终实益拥有人持有中国银河国际投资最终客户(远信投资)30%或以上的权益。根据公开资料,中国银河国际投资最终客户(远信投资)为一家于中国成立的有限责任公司,该基金管理公司专注于私募股权投资,资产管理规模超过人民币100亿元。中国银河国际投资最终客户(远信投资)的最终实益拥有人为独立第三方刘岩先生。概无其他股东持有中国银河国际投资最终客户(远信投资)30%或以上的股权。",,,1296000,50976555.0000,HKD,4.8000,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,盘京港景投资基金,盘京基金为一家根据开曼群岛公司法于开曼群岛注册成立的获豁免有限责任公司。,XIAO Jian,,995400,39152500.0000,HKD,3.6900,6,2026/11/06,医疗设备及用品,医疗保健设备
