code,name,listing_date,total_applicants,valid_applicants,subscribed_shares,public_subscription_multiple_ballot,one_lot_success_rate_pct,industry_level_1,industry_level_2,source_table
2555.HK,茶百道,2024-04-22,4593,4589,4593.0,0.5,100.0,必需性消费,非日常生活消费品,IPO打新中签结果
2497.HK,富景中国控股,2024-03-27,12820,12483,3833.1274,294.13,10.02,必需性消费,日常消费品,IPO打新中签结果
2598.HK,连连数字,2024-03-27,10112,10081,10112.0,16.94,100.0,金融业,金融,IPO打新中签结果
2536.HK,百乐皇宫,2024-03-25,7141,7097,7141.0,15.96,100.0,非必需性消费,非日常生活消费品,IPO打新中签结果
9879.HK,米高集团,2024-03-20,7793,7768,5351.902,9.79,30.02,原材料业,原材料,IPO打新中签结果
2509.HK,荃信生物-B,2024-03-19,14525,14312,4237.5284,163.15,5.0,医疗保健业,医疗保健,IPO打新中签结果
2535.HK,泓基集团,2024-03-07,6323,6248,1807.2592,70.48,2.57,地产建筑业,工业,IPO打新中签结果
2540.HK,乐思集团,2024-03-07,5113,5104,5113.0,22.35,100.0,非必需性消费,通讯业务,IPO打新中签结果
2477.HK,经纬天地,2024-01-11,3480,3479,1447.0441,28.64,20.04,电讯业,通讯业务,IPO打新中签结果
2453.HK,美中嘉和,2024-01-08,1638,1635,1638.0,1.99,100.0,医疗保健业,医疗保健,IPO打新中签结果
2503.HK,中深建业,2024-01-08,5112,5101,5112.0,58.44,100.0,地产建筑业,工业,IPO打新中签结果
6959.HK,长久股份,2024-01-08,2510,2481,1695.951,11.67,20.12,非必需性消费,信息技术,IPO打新中签结果
2498.HK,速腾聚创,2024-01-04,1786,1773,1786.0,0.58,100.0,资讯科技业,信息技术,IPO打新中签结果
