decision_tier_step8,code,name,listing_date,lifecycle_stage,step8_score,primary_score_step8,cornerstone_score_step8,secondary_score_step8,primary_recommendation_step8,cornerstone_recommendation_step8,secondary_recommendation_step8,buy_trigger_step8,sell_trigger_step8,risk_tags_step8
B 交易观察,2889.HK,博泰车联,2025-09-30,已上市/半新股,66.0,56.9,53.6,78.9,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,一手中签率低；暗盘强势；孖展拥挤；公开认购过热；中签率极低；关注基石锁定期
B 交易观察,2526.HK,德适-B,2026-03-30,已上市/半新股,65.8,57.3,52.5,77.7,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；孖展极度拥挤；公开认购过热；中签率极低
B 交易观察,2476.HK,胜宏科技,2026-04-21,已上市/半新股,65.8,57.9,56.1,76.7,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,一手中签率低；基石阵容较多；暗盘强势；孖展拥挤；公开认购过热；中签率极低；关注基石锁定期
B 交易观察,2729.HK,凯乐士科技,2026-03-24,已上市/半新股,65.8,57.8,53.7,78.1,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；孖展极度拥挤；公开认购过热；中签率极低
B 交易观察,6810.HK,商米科技-W,2026-04-29,已上市/半新股,65.6,56.9,54.2,77.6,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；孖展极度拥挤；公开认购过热；中签率极低；行情样本不足；关注基石锁定期
B 交易观察,2582.HK,国富氢能,2024-11-15,已上市/半新股,65.3,56.0,58.5,80.4,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,二级高分：趋势延续持有/试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,等待更多结构数据；关注基石锁定期
B 交易观察,2627.HK,中慧生物-B,2025-08-11,已上市/半新股,65.2,57.5,53.9,77.3,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
B 交易观察,2659.HK,宝济药业-B,2025-12-10,已上市/半新股,65.0,55.2,52.0,77.9,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；暗盘强势；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,6809.HK,澜起科技,2026-02-09,已上市/半新股,64.8,56.4,51.8,76.4,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2718.HK,明略科技-W,2025-11-03,已上市/半新股,64.6,55.5,52.2,76.6,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,3625.HK,傅里叶,2026-03-31,已上市/半新股,64.5,56.0,50.7,77.7,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；孖展极度拥挤；公开认购过热；中签率极低
C 等触发,2591.HK,银诺医药-B,2025-08-15,已上市/半新股,64.4,55.3,52.4,77.3,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,6082.HK,壁仞科技,2026-01-02,已上市/半新股,64.4,55.8,51.9,76.9,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2706.HK,海致科技集团,2026-02-13,已上市/半新股,64.4,55.5,52.7,76.9,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2655.HK,果下科技,2025-12-16,已上市/半新股,64.3,54.1,51.4,78.6,只看二级/等待价格确认,不建议锁定,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；暗盘强势；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,0068.HK,群核科技,2026-04-17,已上市/半新股,64.1,56.2,53.2,76.4,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,9887.HK,维立志博-B,2025-07-25,已上市/半新股,64.0,56.1,53.2,75.6,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2595.HK,劲方医药-B,2025-09-19,已上市/半新股,64.0,55.7,53.6,76.3,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2617.HK,药捷安康-B,2025-06-23,已上市/半新股,63.9,54.7,50.6,76.5,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,1768.HK,鸣鸣很忙,2026-01-28,已上市/半新股,63.9,55.6,51.6,75.8,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
