decision_tier_step8,code,name,listing_date,lifecycle_stage,step8_score,primary_score_step8,cornerstone_score_step8,secondary_score_step8,primary_recommendation_step8,cornerstone_recommendation_step8,secondary_recommendation_step8,buy_trigger_step8,sell_trigger_step8,risk_tags_step8
D 回避/仅跟踪,H2340.HK,丸美生物,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2339.HK,孩子王,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2206.HK,潮宏基,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2343.HK,金智维,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2252.HK,大金重工,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2533.HK,菲亚兰德,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2157.HK,山金国际,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2125.HK,潍柴雷沃,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2131.HK,酷赛智能,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2147.HK,石头科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2116.HK,岸迈生物-B,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2134.HK,易控智驾,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2113.HK,巴奴,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2359.HK,四方精创,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2221.HK,山金国际,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2214.HK,天赐材料,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2223.HK,极飞科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2095.HK,随手播,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2501.HK,MGR-S,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2512.HK,拓普集团,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2091.HK,凯诘电商,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2135.HK,蓝色光标,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2211.HK,若羽臣,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2544.HK,汇川技术,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2549.HK,拿森科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2550.HK,基流科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2250.HK,自然堂,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2191.HK,纳真科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2496.HK,华明装备,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2520.HK,天华新能,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2242.HK,米连科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2526.HK,开思时代,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2114.HK,Hope Sea,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2525.HK,易景信息,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2222.HK,双林股份,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2154.HK,四维智联,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2186.HK,斑马智能,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2187.HK,英发睿能,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2430.HK,舜宇智行,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2438.HK,新宙邦,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2439.HK,甘之草,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2444.HK,浙江荣泰,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2300.HK,海光芯正,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2379.HK,爷爷的农场,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2372.HK,臻驱科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2365.HK,导远科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2555.HK,淘车车,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2257.HK,华恒生物,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2427.HK,护家科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2437.HK,新泉股份,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2440.HK,阿童木机器人,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2406.HK,云峰莫干山,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2433.HK,星辰天合,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2163.HK,镁信健康,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2317.HK,中坚科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2270.HK,千里科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2543.HK,MNC DIGITAL-S,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2240.HK,望圆科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2266.HK,阳光电源,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2551.HK,百秋尚美,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2323.HK,车联天下,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2320.HK,阿维塔,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2492.HK,中文在线,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2314.HK,海澜之家,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2479.HK,海柔创新-W,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2381.HK,桑尼森迪,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2348.HK,环球园艺,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2390.HK,袁记食品,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2180.HK,军信股份,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2507.HK,小阔科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2366.HK,宏芯宇,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2377.HK,天下秀,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2063.HK,奔赴自然,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2288.HK,千岛湖,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2456.HK,台铃科技,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2409.HK,君乐宝,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2410.HK,科大智能,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2420.HK,上海君屹,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2399.HK,睿云联,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2402.HK,花物堂,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2395.HK,金星啤酒,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2472.HK,思源电气,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2458.HK,易买工品,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2466.HK,为恒智能,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2452.HK,浙能迈领,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2197.HK,山推工程机械,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2100.HK,奕斯伟计算,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2152.HK,海马云,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2179.HK,卧龙电驱,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2455.HK,中鑫家居,,A1/上市申请中,42.5,42.1,43.4,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,2509.HK,荃信生物-B,2024-03-20,已上市/半新股,42.4,49.4,42.9,36.5,回避或仅跟踪,不建议锁定,等待回踩发行价/VWAP后试仓,等待触发：不追高，观察发行价、首日VWAP和20D低点,跌破发行价或20D低点：止损/降仓,一手中签率低；暗盘强势；综合风险惩罚高；孖展拥挤；公开认购过热；中签率极低；上市后回撤大；关注基石锁定期
D 回避/仅跟踪,H2115.HK,视源股份,,A1/上市申请中,42.3,41.9,43.0,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2107.HK,创智芯联,,A1/上市申请中,42.3,41.9,43.0,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2121.HK,宇信科技,,A1/上市申请中,42.3,41.9,43.0,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2104.HK,圣桐特医,,A1/上市申请中,42.3,41.9,43.0,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2033.HK,中润光能,,A1/上市申请中,42.3,41.9,43.0,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
D 回避/仅跟踪,H2088.HK,仙工智能,,A1/上市申请中,42.3,41.9,43.0,42.2,回避或仅跟踪,不建议锁定,无行情：仅做发行阶段判断,等待触发：不追高，观察发行价、首日VWAP和20D低点,持仓风控：发行价、首日VWAP、20D低点为核心防线,A1预研
