code,name,listing_date,issue_price,offer_price_low,offer_price_high,public_subscription_multiple,international_subscription_multiple,one_lot_success_rate_pct,cornerstone_count,cornerstone_amount_hkd,margin_multiple,decision_tier,pre_listing_score
2549.HK,卡罗特,2024-10-02,5.78,5.72,5.78,1347.27,7.91,15.0,2.0,313180000.0,1382.3273,B 重点观察,71.4
0300.HK,美的集团,2024-09-17,54.8,52.0,54.8,5.31,8.06,100.0,18.0,9810991960.0,3.781,C 等待触发,57.3
8629.HK,集信国控,2024-09-06,9.9,8.6,10.4,14.33,1.03,10.06,,,6.6539,D 回避/仅跟踪,44.1
2410.HK,同源康医药-B,2024-08-20,12.1,12.1,12.1,2.29,1.01,47.88,1.0,205700000.0,,D 回避/仅跟踪,47.5
2533.HK,黑芝麻智能,2024-08-08,28.0,28.0,30.3,2.52,1.05,100.0,2.0,77147100.0,1.0619,D 回避/仅跟踪,47.0
1471.HK,众淼控股,2024-08-06,7.0,7.0,10.2,16.07,0.98,50.0,2.0,46200000.0,15.9977,D 回避/仅跟踪,48.5
2531.HK,广联科技控股,2024-07-15,4.7,4.7,5.3,2.49,1.06,100.0,1.0,87998100.0,,D 回避/仅跟踪,47.5
2507.HK,西锐,2024-07-12,27.5,27.34,28.0,1.56,1.57,100.0,5.0,851094750.0,0.3054,C 等待触发,52.9
1334.HK,瑞昌国际控股,2024-07-10,1.05,1.05,1.39,19.24,0.97,20.01,3.0,57800000.0,11.0588,D 回避/仅跟踪,49.6
2495.HK,声通科技,2024-07-10,152.1,152.1,152.1,3.51,1.24,34.86,2.0,276000000.0,1.2941,D 回避/仅跟踪,47.9
9680.HK,如祺出行,2024-07-10,35.0,34.0,45.4,0.6,1.17,100.0,4.0,809386000.0,,D 回避/仅跟踪,49.0
6086.HK,方舟健客,2024-07-09,8.18,7.6,8.36,16.63,1.66,40.04,,,14.1146,D 回避/仅跟踪,46.8
6657.HK,百望股份,2024-07-09,36.0,36.0,40.0,6.58,1.04,40.01,1.0,260000000.0,4.1039,D 回避/仅跟踪,47.9
2545.HK,中赣通信,2024-07-03,1.25,1.13,1.25,195.99,1.5,70.01,,,206.1637,C 等待触发,50.3
1354.HK,经发物业,2024-07-03,7.5,7.5,9.3,118.87,0.98,3.79,3.0,53809560.0,44.7616,D 回避/仅跟踪,47.6
8637.HK,元续科技,2024-07-02,2.42,2.38,3.0,2480.61,1.43,3.01,,,2515.3748,B 重点观察,71.0
2559.HK,嘀嗒出行,2024-06-28,6.0,5.0,7.0,112.9,1.28,10.0,,,117.5685,D 回避/仅跟踪,47.0
6181.HK,老铺黄金,2024-06-28,40.5,40.5,40.5,582.15,11.9,3.39,3.0,437464800.0,561.4008,C 等待触发,61.7
2479.HK,天聚地合,2024-06-28,83.33,83.33,83.33,602.87,0.99,1.28,4.0,319649713.5,613.7599,C 等待触发,58.0
2881.HK,武汉有机,2024-06-18,5.5,5.5,8.5,337.57,0.92,5.01,,,299.7509,C 等待触发,50.0
2512.HK,云工场,2024-06-14,4.6,4.6,4.6,25.79,1.09,100.0,,,24.9973,D 回避/仅跟踪,46.3
2228.HK,晶泰控股,2024-06-13,5.28,5.03,6.03,103.35,2.13,20.0,8.0,337513440.0,97.5716,C 等待触发,55.9
2550.HK,宜搜科技,2024-06-07,5.8,5.8,8.0,114.59,0.98,10.02,,,72.2503,D 回避/仅跟踪,45.6
2522.HK,一脉阳光,2024-06-07,14.98,14.6,16.8,336.33,1.24,3.01,3.0,121000000.0,189.5456,C 等待触发,51.0
8529.HK,优博控股,2024-06-03,0.5,0.5,0.6,2503.03,1.15,0.2,,,2941.7301,B 重点观察,70.5
2443.HK,汽车街,2024-05-31,10.2,10.2,11.2,433.34,0.98,5.01,,,446.4525,C 等待触发,52.3
2505.HK,EDA集团控股,2024-05-28,2.28,2.28,3.06,103.44,0.98,10.01,2.0,50851000.0,103.417,D 回避/仅跟踪,48.2
0917.HK,趣致集团,2024-05-27,25.0,25.0,29.7,12.05,1.11,60.02,1.0,78200000.0,12.8004,D 回避/仅跟踪,48.6
2898.HK,盛禾生物-B,2024-05-24,13.5,13.5,13.5,10.08,1.27,7.82,1.0,42200000.0,9.6014,D 回避/仅跟踪,46.8
2529.HK,泓盈城市服务,2024-05-17,3.2,3.2,3.6,47.59,1.2,80.03,5.0,67000000.0,54.5548,C 等待触发,50.7
2556.HK,迈富时,2024-05-16,43.6,42.0,45.0,5.95,1.03,55.04,2.0,39422675.0,4.6804,C 等待触发,50.0
2438.HK,出门问问,2024-04-24,3.8,3.7,4.1,117.39,1.58,25.01,2.0,95000000.0,124.2252,D 回避/仅跟踪,49.8
2555.HK,茶百道,2024-04-23,17.5,17.5,17.5,0.5,1.11,100.0,,,,D 回避/仅跟踪,45.8
2515.HK,天津建发,2024-04-23,2.5,2.5,2.9,433.06,1.02,10.01,,,464.7183,C 等待触发,53.0
