code,name,listing_date,issue_price,offer_price_low,offer_price_high,public_subscription_multiple,international_subscription_multiple,one_lot_success_rate_pct,cornerstone_count,cornerstone_amount_hkd,margin_multiple,decision_tier,pre_listing_score
8610.HK,BBSB INTL,2026-01-13,0.6,0.6,0.7,10745.13,1.01,0.05,2.0,14000000.0,10679.2662,B 重点观察,71.9
0501.HK,豪威集团,2026-01-12,104.8,,104.8,9.28,9.73,100.0,10.0,2173572960.0,6.9405,C 等待触发,56.4
3636.HK,金浔资源,2026-01-09,30.0,30.0,30.0,143.46,12.78,7.0,8.0,468816000.0,129.8667,C 等待触发,58.9
6938.HK,瑞博生物-B,2026-01-09,57.97,57.97,57.97,101.06,16.7,1.71,12.0,777980588.0,84.4146,C 等待触发,60.2
0100.HK,MINIMAX-W,2026-01-09,165.0,151.0,165.0,1837.17,36.76,2.81,14.0,2723166600.0,1620.9304,A 高优先,90.0
2675.HK,精锋医疗-B,2026-01-08,43.24,43.24,43.24,1091.94,25.18,0.5,14.0,583506504.0,954.9259,A 高优先,78.9
2513.HK,智谱,2026-01-08,116.2,116.2,116.2,1159.46,15.28,5.0,11.0,2984201920.0,1071.9335,A 高优先,78.3
9903.HK,天数智芯,2026-01-08,144.6,144.6,144.6,414.24,10.68,7.0,19.0,1581967380.0,341.9557,C 等待触发,61.8
6082.HK,壁仞科技,2026-01-02,19.6,17.0,19.6,2347.53,25.95,5.0,25.0,2899391000.0,2271.2312,A 高优先,90.1
3317.HK,迅策,2025-12-30,48.0,48.0,55.0,7.24,3.1,12.78,9.0,307819300.0,6.0974,C 等待触发,53.4
6600.HK,卧安机器人,2025-12-30,73.8,63.0,81.0,254.5,8.9,7.0,9.0,699998510.2,247.7774,C 等待触发,57.7
6651.HK,五一视界,2025-12-30,30.5,30.5,30.5,256.01,2.6,10.0,,,198.2833,D 回避/仅跟踪,49.7
2657.HK,林清轩,2025-12-30,77.77,77.77,77.77,1235.81,19.79,2.0,7.0,482557780.0,1237.6057,A 高优先,79.3
3696.HK,英矽智能,2025-12-30,24.05,24.05,24.05,1427.37,26.27,1.0,16.0,894838000.0,1392.3987,A 高优先,88.2
2671.HK,美联股份,2025-12-30,7.1,7.1,9.16,146.25,1.48,0.75,4.0,51500000.0,140.4588,C 等待触发,50.3
3378.HK,翰思艾泰-B,2025-12-23,32.0,28.0,32.0,3074.09,5.78,1.0,7.0,93369600.0,3113.3945,A 高优先,78.2
2635.HK,诺比侃,2025-12-23,80.0,80.0,106.0,188.74,2.08,3.0,,,174.3458,D 回避/仅跟踪,46.7
2661.HK,轻松健康,2025-12-23,22.68,22.68,22.68,1421.47,2.9,6.0,1.0,108904824.0,1285.4484,B 重点观察,67.9
2396.HK,华芢生物-B,2025-12-22,38.2,38.2,51.0,791.95,6.05,2.5,,,701.501,C 等待触发,59.3
2691.HK,南华期货股份,2025-12-22,12.0,12.0,16.0,1.91,0.99,74.64,,,0.7262,D 回避/仅跟踪,45.9
2581.HK,明基医院,2025-12-22,9.34,9.34,11.68,6.28,1.28,50.01,3.0,310573680.0,6.2215,C 等待触发,50.9
2695.HK,印象大红袍,2025-12-22,3.6,3.47,4.1,3397.48,1.91,0.8,,,3065.8787,B 重点观察,71.7
3881.HK,希迪智驾,2025-12-19,263.0,263.0,263.0,22.55,2.1,50.0,5.0,546090570.0,17.3003,C 等待触发,53.1
2546.HK,智汇矿业,2025-12-19,4.51,4.1,4.51,5248.15,2.68,1.0,3.0,224313870.0,4826.2086,B 重点观察,74.0
3887.HK,HASHKEY HLDGS,2025-12-17,6.68,5.95,6.95,393.71,5.46,10.0,9.0,583941552.0,352.7913,C 等待触发,60.4
2655.HK,果下科技,2025-12-16,20.1,20.1,20.1,1890.73,3.63,10.0,3.0,74250000.0,1603.7882,A 高优先,75.1
7618.HK,京东工业,2025-12-11,14.1,12.7,15.5,60.52,7.88,35.0,7.0,1323592380.0,56.785,C 等待触发,56.7
2665.HK,图达通,2025-12-10,10.0,10.0,10.0,,,,,,,D 回避/仅跟踪,45.8
2659.HK,宝济药业-B,2025-12-10,26.38,26.38,26.38,3526.34,6.59,7.0,3.0,200596158.0,3228.9291,A 高优先,76.3
2676.HK,纳芯微,2025-12-08,116.0,,116.0,25.33,2.65,4.32,7.0,1089031200.0,17.7965,D 回避/仅跟踪,49.9
2687.HK,卓越睿新,2025-12-08,67.5,62.26,76.1,4813.4,2.33,1.0,,,4521.3357,B 重点观察,71.6
